ERROR: Unable to locate a modulefile for 'torque/default'
ERROR: Unable to locate a modulefile for 'oldwheezy/1.0'
ERROR: Unable to locate a modulefile for 'licenses/1.0'
ERROR: Unable to locate a modulefile for 'stdenv/1.3'
ERROR: Unable to locate a modulefile for 'libgfortran/32/1'
----------------------------------------------INPUT LENGTH  5  iteration  0  ------------------------

/home/lgpu0119/DL_assignments_2019/assignment_2/part1/train.py:104: UserWarning: torch.nn.utils.clip_grad_norm is now deprecated in favor of torch.nn.utils.clip_grad_norm_.
  torch.nn.utils.clip_grad_norm(model.parameters(), max_norm=config.max_norm)
[2019-11-28 16:06] Train Step 0000/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 4680.45, Accuracy = 0.15, Loss = 2.301
[2019-11-28 16:06] Train Step 0120/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8186.63, Accuracy = 0.48, Loss = 1.048
[2019-11-28 16:06] Train Step 0130/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8216.95, Accuracy = 0.57, Loss = 0.979
[2019-11-28 16:06] Train Step 0140/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7750.19, Accuracy = 0.64, Loss = 0.909
[2019-11-28 16:06] Train Step 0150/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8457.99, Accuracy = 0.59, Loss = 0.904
[2019-11-28 16:06] Train Step 0160/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7748.40, Accuracy = 0.69, Loss = 0.848
[2019-11-28 16:06] Train Step 0170/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8280.70, Accuracy = 0.76, Loss = 0.785
[2019-11-28 16:06] Train Step 0180/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8262.73, Accuracy = 0.72, Loss = 0.770
[2019-11-28 16:06] Train Step 0190/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8144.28, Accuracy = 0.80, Loss = 0.725
[2019-11-28 16:06] Train Step 0200/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8360.26, Accuracy = 0.77, Loss = 0.714
[2019-11-28 16:06] Train Step 0210/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8128.87, Accuracy = 0.81, Loss = 0.683
[2019-11-28 16:06] Train Step 0220/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8214.81, Accuracy = 0.80, Loss = 0.682
[2019-11-28 16:06] Train Step 0230/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8675.44, Accuracy = 0.68, Loss = 0.686
[2019-11-28 16:06] Train Step 0240/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8171.80, Accuracy = 0.71, Loss = 0.698
[2019-11-28 16:06] Train Step 0250/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7729.32, Accuracy = 0.68, Loss = 0.675
[2019-11-28 16:06] Train Step 0260/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8247.63, Accuracy = 0.67, Loss = 0.713
[2019-11-28 16:06] Train Step 0270/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8160.25, Accuracy = 0.58, Loss = 0.707
[2019-11-28 16:06] Train Step 0280/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8397.14, Accuracy = 0.55, Loss = 0.747
[2019-11-28 16:06] Train Step 0290/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8258.92, Accuracy = 0.55, Loss = 0.724
[2019-11-28 16:06] Train Step 0300/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7758.25, Accuracy = 0.75, Loss = 0.519
[2019-11-28 16:06] Train Step 0310/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8212.80, Accuracy = 0.68, Loss = 0.565
[2019-11-28 16:06] Train Step 0320/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8079.56, Accuracy = 0.59, Loss = 0.662
[2019-11-28 16:06] Train Step 0330/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8243.19, Accuracy = 0.62, Loss = 0.611
[2019-11-28 16:06] Train Step 0340/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7758.14, Accuracy = 0.58, Loss = 0.656
[2019-11-28 16:06] Train Step 0350/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8238.01, Accuracy = 0.77, Loss = 0.489
[2019-11-28 16:06] Train Step 0360/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8390.31, Accuracy = 0.66, Loss = 0.646
[2019-11-28 16:06] Train Step 0370/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7762.74, Accuracy = 0.70, Loss = 0.525
[2019-11-28 16:06] Train Step 0380/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8620.00, Accuracy = 0.67, Loss = 0.628
[2019-11-28 16:06] Train Step 0390/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7824.51, Accuracy = 0.99, Loss = 0.284
[2019-11-28 16:06] Train Step 0400/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8563.49, Accuracy = 0.93, Loss = 0.354
[2019-11-28 16:06] Train Step 0410/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7754.66, Accuracy = 0.85, Loss = 0.386
[2019-11-28 16:06] Train Step 0420/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8271.00, Accuracy = 0.80, Loss = 0.408
[2019-11-28 16:06] Train Step 0430/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8162.48, Accuracy = 0.69, Loss = 0.517
[2019-11-28 16:06] Train Step 0440/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8161.86, Accuracy = 0.77, Loss = 0.428
[2019-11-28 16:06] Train Step 0450/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8115.23, Accuracy = 0.79, Loss = 0.403
[2019-11-28 16:06] Train Step 0460/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7770.94, Accuracy = 0.80, Loss = 0.383
[2019-11-28 16:06] Train Step 0470/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8121.36, Accuracy = 0.88, Loss = 0.266
[2019-11-28 16:06] Train Step 0480/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7909.00, Accuracy = 0.86, Loss = 0.289
[2019-11-28 16:06] Train Step 0490/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8154.30, Accuracy = 0.83, Loss = 0.375
[2019-11-28 16:06] Train Step 0500/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8223.75, Accuracy = 1.00, Loss = 0.172
[2019-11-28 16:06] Train Step 0510/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7934.37, Accuracy = 0.97, Loss = 0.194
[2019-11-28 16:06] Train Step 0520/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8140.70, Accuracy = 0.89, Loss = 0.305
[2019-11-28 16:06] Train Step 0530/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7967.45, Accuracy = 0.98, Loss = 0.204
[2019-11-28 16:06] Train Step 0540/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8222.87, Accuracy = 0.88, Loss = 0.261
[2019-11-28 16:06] Train Step 0550/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7800.75, Accuracy = 0.99, Loss = 0.199
[2019-11-28 16:06] Train Step 0560/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8243.19, Accuracy = 1.00, Loss = 0.168
[2019-11-28 16:06] Train Step 0570/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7886.58, Accuracy = 0.92, Loss = 0.174
[2019-11-28 16:06] Train Step 0580/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8193.63, Accuracy = 1.00, Loss = 0.115
[2019-11-28 16:06] Train Step 0590/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8445.48, Accuracy = 1.00, Loss = 0.128
[2019-11-28 16:06] Train Step 0600/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8189.50, Accuracy = 1.00, Loss = 0.120
[2019-11-28 16:06] Train Step 0610/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8497.89, Accuracy = 1.00, Loss = 0.042
[2019-11-28 16:06] Train Step 0620/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8875.51, Accuracy = 1.00, Loss = 0.024
[2019-11-28 16:06] Train Step 0630/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8289.27, Accuracy = 1.00, Loss = 0.022
[2019-11-28 16:06] Train Step 0640/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8442.30, Accuracy = 1.00, Loss = 0.020
[2019-11-28 16:06] Train Step 0650/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8176.78, Accuracy = 1.00, Loss = 0.018
[2019-11-28 16:06] Train Step 0660/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8276.87, Accuracy = 1.00, Loss = 0.017
[2019-11-28 16:06] Train Step 0670/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8269.22, Accuracy = 1.00, Loss = 0.016
[2019-11-28 16:06] Train Step 0680/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8147.12, Accuracy = 1.00, Loss = 0.014
[2019-11-28 16:06] Train Step 0690/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8011.56, Accuracy = 1.00, Loss = 0.013
[2019-11-28 16:06] Train Step 0700/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8591.03, Accuracy = 1.00, Loss = 0.012
[2019-11-28 16:06] Train Step 0710/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8338.97, Accuracy = 1.00, Loss = 0.012
[2019-11-28 16:06] Train Step 0720/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8187.38, Accuracy = 1.00, Loss = 0.010
[2019-11-28 16:06] Train Step 0730/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8118.42, Accuracy = 1.00, Loss = 0.009
[2019-11-28 16:06] Train Step 0740/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8244.46, Accuracy = 1.00, Loss = 0.009
[2019-11-28 16:06] Train Step 0750/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7872.58, Accuracy = 1.00, Loss = 0.008
[2019-11-28 16:06] Train Step 0760/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8339.35, Accuracy = 1.00, Loss = 0.007
[2019-11-28 16:06] Train Step 0770/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8498.56, Accuracy = 1.00, Loss = 0.007
[2019-11-28 16:06] Train Step 0780/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8510.95, Accuracy = 1.00, Loss = 0.006
[2019-11-28 16:06] Train Step 0790/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8415.43, Accuracy = 1.00, Loss = 0.006
[2019-11-28 16:06] Train Step 0800/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8373.30, Accuracy = 1.00, Loss = 0.006
[2019-11-28 16:06] Train Step 0810/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8497.35, Accuracy = 1.00, Loss = 0.005
[2019-11-28 16:06] Train Step 0820/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8354.54, Accuracy = 1.00, Loss = 0.005
[2019-11-28 16:06] Train Step 0830/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8150.34, Accuracy = 1.00, Loss = 0.005
[2019-11-28 16:06] Train Step 0840/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8109.34, Accuracy = 1.00, Loss = 0.004
[2019-11-28 16:06] Train Step 0850/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8394.38, Accuracy = 1.00, Loss = 0.004
[2019-11-28 16:06] Train Step 0860/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8292.34, Accuracy = 1.00, Loss = 0.004
[2019-11-28 16:06] Train Step 0870/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8823.29, Accuracy = 1.00, Loss = 0.004
[2019-11-28 16:06] Train Step 0880/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7940.70, Accuracy = 1.00, Loss = 0.003
[2019-11-28 16:06] Train Step 0890/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8090.77, Accuracy = 1.00, Loss = 0.003
[2019-11-28 16:06] Train Step 0900/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8393.33, Accuracy = 1.00, Loss = 0.003
[2019-11-28 16:06] Train Step 0910/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8314.17, Accuracy = 1.00, Loss = 0.003
[2019-11-28 16:06] Train Step 0920/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8241.42, Accuracy = 1.00, Loss = 0.002
[2019-11-28 16:06] Train Step 0930/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7952.35, Accuracy = 1.00, Loss = 0.003
[2019-11-28 16:06] Train Step 0940/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8612.81, Accuracy = 1.00, Loss = 0.002
[2019-11-28 16:06] Train Step 0950/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8326.16, Accuracy = 1.00, Loss = 0.002
[2019-11-28 16:06] Train Step 0960/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8259.81, Accuracy = 1.00, Loss = 0.002
[2019-11-28 16:06] Train Step 0970/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7939.41, Accuracy = 1.00, Loss = 0.002
[2019-11-28 16:06] Train Step 0980/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8630.67, Accuracy = 1.00, Loss = 0.002
[2019-11-28 16:06] Train Step 0990/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7866.13, Accuracy = 1.00, Loss = 0.002
[2019-11-28 16:06] Train Step 1000/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8503.67, Accuracy = 1.00, Loss = 0.002
[2019-11-28 16:06] Train Step 1010/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8716.99, Accuracy = 1.00, Loss = 0.002
[2019-11-28 16:06] Train Step 1020/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7966.74, Accuracy = 1.00, Loss = 0.001
[2019-11-28 16:06] Train Step 1030/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8401.74, Accuracy = 1.00, Loss = 0.001
[2019-11-28 16:06] Train Step 1040/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8290.80, Accuracy = 1.00, Loss = 0.001
[2019-11-28 16:06] Train Step 1050/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8308.89, Accuracy = 1.00, Loss = 0.001
[2019-11-28 16:06] Train Step 1060/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8799.86, Accuracy = 1.00, Loss = 0.001
[2019-11-28 16:06] Train Step 1070/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7959.54, Accuracy = 1.00, Loss = 0.001
[2019-11-28 16:06] Train Step 1080/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7928.39, Accuracy = 1.00, Loss = 0.001
----------------------------------------------INPUT LENGTH  5  iteration  1  ------------------------

[2019-11-28 16:06] Train Step 0000/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7728.21, Accuracy = 0.13, Loss = 2.303
[2019-11-28 16:06] Train Step 0010/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8323.32, Accuracy = 0.24, Loss = 2.213
[2019-11-28 16:06] Train Step 0020/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8803.76, Accuracy = 0.09, Loss = 2.226
[2019-11-28 16:06] Train Step 0030/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8575.25, Accuracy = 0.16, Loss = 2.043
[2019-11-28 16:06] Train Step 0040/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8768.96, Accuracy = 0.25, Loss = 1.623
[2019-11-28 16:06] Train Step 0050/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7861.98, Accuracy = 0.27, Loss = 1.682
[2019-11-28 16:06] Train Step 0060/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8192.50, Accuracy = 0.22, Loss = 1.558
[2019-11-28 16:06] Train Step 0070/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8497.62, Accuracy = 0.35, Loss = 1.458
[2019-11-28 16:06] Train Step 0080/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8631.37, Accuracy = 0.36, Loss = 1.304
[2019-11-28 16:06] Train Step 0090/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7816.65, Accuracy = 0.40, Loss = 1.316
[2019-11-28 16:06] Train Step 0100/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8229.42, Accuracy = 0.29, Loss = 1.334
[2019-11-28 16:06] Train Step 0110/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8258.15, Accuracy = 0.40, Loss = 1.218
[2019-11-28 16:06] Train Step 0120/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8194.38, Accuracy = 0.41, Loss = 1.178
[2019-11-28 16:06] Train Step 0130/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7951.76, Accuracy = 0.45, Loss = 1.101
[2019-11-28 16:06] Train Step 0140/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8159.75, Accuracy = 0.53, Loss = 1.009
[2019-11-28 16:06] Train Step 0150/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7739.91, Accuracy = 0.42, Loss = 1.050
[2019-11-28 16:06] Train Step 0160/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8134.78, Accuracy = 0.60, Loss = 0.927
[2019-11-28 16:06] Train Step 0170/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8237.50, Accuracy = 0.66, Loss = 0.900
[2019-11-28 16:06] Train Step 0180/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8168.07, Accuracy = 0.63, Loss = 0.866
[2019-11-28 16:06] Train Step 0190/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8494.66, Accuracy = 0.60, Loss = 0.877
[2019-11-28 16:06] Train Step 0200/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7856.92, Accuracy = 0.73, Loss = 0.822
[2019-11-28 16:06] Train Step 0210/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8345.71, Accuracy = 0.71, Loss = 0.768
[2019-11-28 16:06] Train Step 0220/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7797.69, Accuracy = 0.81, Loss = 0.698
[2019-11-28 16:06] Train Step 0230/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8411.74, Accuracy = 0.84, Loss = 0.676
[2019-11-28 16:06] Train Step 0240/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8069.12, Accuracy = 0.90, Loss = 0.600
[2019-11-28 16:06] Train Step 0250/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7831.59, Accuracy = 0.67, Loss = 0.760
[2019-11-28 16:06] Train Step 0260/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8403.31, Accuracy = 0.63, Loss = 0.726
[2019-11-28 16:06] Train Step 0270/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8221.23, Accuracy = 0.79, Loss = 0.615
[2019-11-28 16:06] Train Step 0280/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8059.67, Accuracy = 0.75, Loss = 0.652
[2019-11-28 16:06] Train Step 0290/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8107.51, Accuracy = 0.75, Loss = 0.668
[2019-11-28 16:06] Train Step 0300/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7790.33, Accuracy = 0.82, Loss = 0.590
[2019-11-28 16:06] Train Step 0310/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8032.90, Accuracy = 0.81, Loss = 0.585
[2019-11-28 16:06] Train Step 0320/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8312.50, Accuracy = 0.83, Loss = 0.548
[2019-11-28 16:06] Train Step 0330/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7902.37, Accuracy = 0.90, Loss = 0.494
[2019-11-28 16:06] Train Step 0340/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8109.22, Accuracy = 0.92, Loss = 0.462
[2019-11-28 16:06] Train Step 0350/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7899.34, Accuracy = 0.91, Loss = 0.431
[2019-11-28 16:06] Train Step 0360/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7953.88, Accuracy = 0.94, Loss = 0.395
[2019-11-28 16:06] Train Step 0370/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8579.09, Accuracy = 0.94, Loss = 0.397
[2019-11-28 16:06] Train Step 0380/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7943.29, Accuracy = 0.95, Loss = 0.399
[2019-11-28 16:06] Train Step 0390/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8571.28, Accuracy = 0.97, Loss = 0.429
[2019-11-28 16:06] Train Step 0400/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7801.77, Accuracy = 0.93, Loss = 0.412
[2019-11-28 16:06] Train Step 0410/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8125.79, Accuracy = 0.98, Loss = 0.329
[2019-11-28 16:06] Train Step 0420/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8355.97, Accuracy = 0.97, Loss = 0.288
[2019-11-28 16:06] Train Step 0430/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7892.03, Accuracy = 0.98, Loss = 0.246
[2019-11-28 16:06] Train Step 0440/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8282.36, Accuracy = 0.99, Loss = 0.234
[2019-11-28 16:06] Train Step 0450/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7622.87, Accuracy = 1.00, Loss = 0.229
[2019-11-28 16:06] Train Step 0460/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8134.53, Accuracy = 1.00, Loss = 0.216
[2019-11-28 16:06] Train Step 0470/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8118.66, Accuracy = 1.00, Loss = 0.224
[2019-11-28 16:06] Train Step 0480/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8323.32, Accuracy = 0.98, Loss = 0.230
[2019-11-28 16:06] Train Step 0490/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8252.32, Accuracy = 1.00, Loss = 0.197
[2019-11-28 16:06] Train Step 0500/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8549.99, Accuracy = 1.00, Loss = 0.174
[2019-11-28 16:06] Train Step 0510/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7690.13, Accuracy = 1.00, Loss = 0.174
[2019-11-28 16:06] Train Step 0520/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7837.07, Accuracy = 1.00, Loss = 0.161
[2019-11-28 16:06] Train Step 0530/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8197.63, Accuracy = 1.00, Loss = 0.131
[2019-11-28 16:06] Train Step 0540/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8341.69, Accuracy = 0.98, Loss = 0.192
[2019-11-28 16:06] Train Step 0550/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7918.45, Accuracy = 0.98, Loss = 0.159
[2019-11-28 16:06] Train Step 0560/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8288.50, Accuracy = 1.00, Loss = 0.141
[2019-11-28 16:06] Train Step 0570/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8478.83, Accuracy = 1.00, Loss = 0.112
[2019-11-28 16:06] Train Step 0580/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7722.21, Accuracy = 1.00, Loss = 0.122
[2019-11-28 16:06] Train Step 0590/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8702.30, Accuracy = 0.98, Loss = 0.162
[2019-11-28 16:06] Train Step 0600/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7843.71, Accuracy = 1.00, Loss = 0.129
[2019-11-28 16:06] Train Step 0610/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8444.42, Accuracy = 1.00, Loss = 0.083
[2019-11-28 16:06] Train Step 0620/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7832.96, Accuracy = 0.98, Loss = 0.145
[2019-11-28 16:06] Train Step 0630/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7873.85, Accuracy = 0.99, Loss = 0.122
[2019-11-28 16:06] Train Step 0640/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8076.77, Accuracy = 1.00, Loss = 0.093
[2019-11-28 16:06] Train Step 0650/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7540.85, Accuracy = 1.00, Loss = 0.091
[2019-11-28 16:06] Train Step 0660/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8343.11, Accuracy = 1.00, Loss = 0.077
[2019-11-28 16:06] Train Step 0670/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7880.91, Accuracy = 0.98, Loss = 0.089
[2019-11-28 16:06] Train Step 0680/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8053.75, Accuracy = 1.00, Loss = 0.066
[2019-11-28 16:06] Train Step 0690/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8228.29, Accuracy = 0.95, Loss = 0.139
