ERROR: Unable to locate a modulefile for 'torque/default'
ERROR: Unable to locate a modulefile for 'oldwheezy/1.0'
ERROR: Unable to locate a modulefile for 'licenses/1.0'
ERROR: Unable to locate a modulefile for 'stdenv/1.3'
ERROR: Unable to locate a modulefile for 'libgfortran/32/1'
----------------------------------------------INPUT LENGTH  5 ------------------------

/home/lgpu0119/DL_assignments_2019/assignment_2/part1/train.py:104: UserWarning: torch.nn.utils.clip_grad_norm is now deprecated in favor of torch.nn.utils.clip_grad_norm_.
  torch.nn.utils.clip_grad_norm(model.parameters(), max_norm=config.max_norm)
[2019-11-27 17:27] Train Step 0000/10000, Batch Size = 128, Model type RNN, Examples/Sec = 8762.09, Accuracy = 0.09, Loss = 2.304
[2019-11-27 17:27] Train Step 0420/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24969.58, Accuracy = 0.98, Loss = 0.189
[2019-11-27 17:27] Train Step 0430/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25121.47, Accuracy = 0.99, Loss = 0.226
[2019-11-27 17:27] Train Step 0440/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24566.25, Accuracy = 0.98, Loss = 0.171
[2019-11-27 17:27] Train Step 0450/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24782.85, Accuracy = 0.96, Loss = 0.194
[2019-11-27 17:27] Train Step 0460/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24948.69, Accuracy = 0.96, Loss = 0.196
[2019-11-27 17:27] Train Step 0470/10000, Batch Size = 128, Model type RNN, Examples/Sec = 22890.38, Accuracy = 0.95, Loss = 0.180
[2019-11-27 17:27] Train Step 0480/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25340.83, Accuracy = 1.00, Loss = 0.132
[2019-11-27 17:27] Train Step 0490/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24679.18, Accuracy = 0.93, Loss = 0.181
[2019-11-27 17:27] Train Step 0500/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24670.11, Accuracy = 1.00, Loss = 0.112
[2019-11-27 17:27] Train Step 0510/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24974.22, Accuracy = 0.99, Loss = 0.122
[2019-11-27 17:27] Train Step 0520/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24974.22, Accuracy = 0.96, Loss = 0.161
[2019-11-27 17:27] Train Step 0530/10000, Batch Size = 128, Model type RNN, Examples/Sec = 17329.04, Accuracy = 0.98, Loss = 0.153
[2019-11-27 17:27] Train Step 0540/10000, Batch Size = 128, Model type RNN, Examples/Sec = 19492.81, Accuracy = 0.99, Loss = 0.165
[2019-11-27 17:27] Train Step 0550/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24452.13, Accuracy = 0.98, Loss = 0.144
[2019-11-27 17:27] Train Step 0560/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24636.15, Accuracy = 0.98, Loss = 0.121
[2019-11-27 17:27] Train Step 0570/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24628.24, Accuracy = 0.99, Loss = 0.113
[2019-11-27 17:27] Train Step 0580/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24085.73, Accuracy = 1.00, Loss = 0.109
[2019-11-27 17:27] Train Step 0590/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24853.98, Accuracy = 1.00, Loss = 0.122
[2019-11-27 17:27] Train Step 0600/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24881.63, Accuracy = 0.98, Loss = 0.102
[2019-11-27 17:27] Train Step 0610/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24650.85, Accuracy = 1.00, Loss = 0.057
[2019-11-27 17:27] Train Step 0620/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24442.11, Accuracy = 0.98, Loss = 0.090
[2019-11-27 17:27] Train Step 0630/10000, Batch Size = 128, Model type RNN, Examples/Sec = 23146.97, Accuracy = 1.00, Loss = 0.088
[2019-11-27 17:27] Train Step 0640/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25441.71, Accuracy = 1.00, Loss = 0.035
[2019-11-27 17:27] Train Step 0650/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25407.99, Accuracy = 1.00, Loss = 0.032
[2019-11-27 17:27] Train Step 0660/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25125.00, Accuracy = 1.00, Loss = 0.031
[2019-11-27 17:27] Train Step 0670/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25362.38, Accuracy = 1.00, Loss = 0.031
[2019-11-27 17:27] Train Step 0680/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25458.60, Accuracy = 1.00, Loss = 0.026
[2019-11-27 17:27] Train Step 0690/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25421.23, Accuracy = 1.00, Loss = 0.023
[2019-11-27 17:27] Train Step 0700/10000, Batch Size = 128, Model type RNN, Examples/Sec = 23309.78, Accuracy = 1.00, Loss = 0.022
[2019-11-27 17:27] Train Step 0710/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25170.94, Accuracy = 1.00, Loss = 0.025
[2019-11-27 17:27] Train Step 0720/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25217.05, Accuracy = 1.00, Loss = 0.019
[2019-11-27 17:27] Train Step 0730/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25149.71, Accuracy = 1.00, Loss = 0.018
[2019-11-27 17:27] Train Step 0740/10000, Batch Size = 128, Model type RNN, Examples/Sec = 22143.57, Accuracy = 1.00, Loss = 0.017
[2019-11-27 17:27] Train Step 0750/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24927.84, Accuracy = 1.00, Loss = 0.015
[2019-11-27 17:27] Train Step 0760/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25013.79, Accuracy = 1.00, Loss = 0.015
[2019-11-27 17:27] Train Step 0770/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25429.66, Accuracy = 1.00, Loss = 0.015
[2019-11-27 17:27] Train Step 0780/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25258.57, Accuracy = 1.00, Loss = 0.012
[2019-11-27 17:27] Train Step 0790/10000, Batch Size = 128, Model type RNN, Examples/Sec = 23365.58, Accuracy = 1.00, Loss = 0.012
[2019-11-27 17:27] Train Step 0800/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25318.13, Accuracy = 1.00, Loss = 0.012
[2019-11-27 17:27] Train Step 0810/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25049.97, Accuracy = 1.00, Loss = 0.011
[2019-11-27 17:27] Train Step 0820/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24550.53, Accuracy = 1.00, Loss = 0.011
[2019-11-27 17:27] Train Step 0830/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25410.40, Accuracy = 1.00, Loss = 0.010
[2019-11-27 17:27] Train Step 0840/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25398.38, Accuracy = 1.00, Loss = 0.010
[2019-11-27 17:27] Train Step 0850/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25448.94, Accuracy = 1.00, Loss = 0.008
[2019-11-27 17:27] Train Step 0860/10000, Batch Size = 128, Model type RNN, Examples/Sec = 15907.29, Accuracy = 1.00, Loss = 0.008
[2019-11-27 17:27] Train Step 0870/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25240.76, Accuracy = 1.00, Loss = 0.008
[2019-11-27 17:27] Train Step 0880/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25483.98, Accuracy = 1.00, Loss = 0.007
[2019-11-27 17:27] Train Step 0890/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25423.64, Accuracy = 1.00, Loss = 0.008
[2019-11-27 17:27] Train Step 0900/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24865.50, Accuracy = 1.00, Loss = 0.007
[2019-11-27 17:27] Train Step 0910/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25343.23, Accuracy = 1.00, Loss = 0.006
[2019-11-27 17:27] Train Step 0920/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25154.43, Accuracy = 1.00, Loss = 0.006
----------------------------------------------INPUT LENGTH  5 ------------------------

[2019-11-27 17:27] Train Step 0000/10000, Batch Size = 128, Model type RNN, Examples/Sec = 11404.10, Accuracy = 0.12, Loss = 2.315
[2019-11-27 17:27] Train Step 0010/10000, Batch Size = 128, Model type RNN, Examples/Sec = 23305.74, Accuracy = 0.30, Loss = 1.808
[2019-11-27 17:27] Train Step 0020/10000, Batch Size = 128, Model type RNN, Examples/Sec = 23922.60, Accuracy = 0.38, Loss = 1.572
[2019-11-27 17:27] Train Step 0030/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24394.35, Accuracy = 0.38, Loss = 1.452
[2019-11-27 17:27] Train Step 0040/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24446.56, Accuracy = 0.39, Loss = 1.289
[2019-11-27 17:27] Train Step 0050/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24317.01, Accuracy = 0.52, Loss = 1.214
[2019-11-27 17:27] Train Step 0060/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24223.75, Accuracy = 0.48, Loss = 1.199
[2019-11-27 17:27] Train Step 0070/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24336.85, Accuracy = 0.73, Loss = 0.958
[2019-11-27 17:27] Train Step 0080/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24105.20, Accuracy = 0.66, Loss = 0.971
[2019-11-27 17:27] Train Step 0090/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24365.57, Accuracy = 0.55, Loss = 0.933
[2019-11-27 17:27] Train Step 0100/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24462.15, Accuracy = 0.82, Loss = 0.760
[2019-11-27 17:27] Train Step 0110/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24337.95, Accuracy = 0.68, Loss = 0.817
[2019-11-27 17:27] Train Step 0120/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24103.03, Accuracy = 0.82, Loss = 0.663
[2019-11-27 17:27] Train Step 0130/10000, Batch Size = 128, Model type RNN, Examples/Sec = 23911.94, Accuracy = 0.73, Loss = 0.720
[2019-11-27 17:27] Train Step 0140/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24403.22, Accuracy = 0.77, Loss = 0.625
[2019-11-27 17:27] Train Step 0150/10000, Batch Size = 128, Model type RNN, Examples/Sec = 23978.16, Accuracy = 0.76, Loss = 0.572
[2019-11-27 17:27] Train Step 0160/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24512.41, Accuracy = 0.74, Loss = 0.564
[2019-11-27 17:27] Train Step 0170/10000, Batch Size = 128, Model type RNN, Examples/Sec = 23508.82, Accuracy = 0.71, Loss = 0.596
[2019-11-27 17:27] Train Step 0180/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24343.47, Accuracy = 0.90, Loss = 0.522
[2019-11-27 17:27] Train Step 0190/10000, Batch Size = 128, Model type RNN, Examples/Sec = 23672.60, Accuracy = 0.77, Loss = 0.529
[2019-11-27 17:27] Train Step 0200/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24108.44, Accuracy = 0.76, Loss = 0.491
[2019-11-27 17:27] Train Step 0210/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24487.82, Accuracy = 0.93, Loss = 0.420
[2019-11-27 17:27] Train Step 0220/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24274.13, Accuracy = 0.89, Loss = 0.424
[2019-11-27 17:27] Train Step 0230/10000, Batch Size = 128, Model type RNN, Examples/Sec = 23730.15, Accuracy = 0.75, Loss = 0.510
[2019-11-27 17:27] Train Step 0240/10000, Batch Size = 128, Model type RNN, Examples/Sec = 23204.00, Accuracy = 0.88, Loss = 0.402
[2019-11-27 17:27] Train Step 0250/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24288.41, Accuracy = 0.87, Loss = 0.386
[2019-11-27 17:27] Train Step 0260/10000, Batch Size = 128, Model type RNN, Examples/Sec = 23526.33, Accuracy = 0.85, Loss = 0.390
[2019-11-27 17:27] Train Step 0270/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24287.31, Accuracy = 0.93, Loss = 0.355
[2019-11-27 17:27] Train Step 0280/10000, Batch Size = 128, Model type RNN, Examples/Sec = 23480.03, Accuracy = 0.84, Loss = 0.334
[2019-11-27 17:27] Train Step 0290/10000, Batch Size = 128, Model type RNN, Examples/Sec = 23947.14, Accuracy = 0.71, Loss = 0.435
[2019-11-27 17:27] Train Step 0300/10000, Batch Size = 128, Model type RNN, Examples/Sec = 23973.87, Accuracy = 0.97, Loss = 0.325
[2019-11-27 17:27] Train Step 0310/10000, Batch Size = 128, Model type RNN, Examples/Sec = 23219.05, Accuracy = 0.95, Loss = 0.308
[2019-11-27 17:27] Train Step 0320/10000, Batch Size = 128, Model type RNN, Examples/Sec = 23754.30, Accuracy = 0.95, Loss = 0.341
[2019-11-27 17:27] Train Step 0330/10000, Batch Size = 128, Model type RNN, Examples/Sec = 23993.16, Accuracy = 0.88, Loss = 0.342
[2019-11-27 17:27] Train Step 0340/10000, Batch Size = 128, Model type RNN, Examples/Sec = 23581.10, Accuracy = 0.94, Loss = 0.327
[2019-11-27 17:27] Train Step 0350/10000, Batch Size = 128, Model type RNN, Examples/Sec = 23805.91, Accuracy = 0.90, Loss = 0.296
[2019-11-27 17:27] Train Step 0360/10000, Batch Size = 128, Model type RNN, Examples/Sec = 23817.53, Accuracy = 0.93, Loss = 0.264
[2019-11-27 17:27] Train Step 0370/10000, Batch Size = 128, Model type RNN, Examples/Sec = 23554.20, Accuracy = 0.97, Loss = 0.298
[2019-11-27 17:27] Train Step 0380/10000, Batch Size = 128, Model type RNN, Examples/Sec = 23690.36, Accuracy = 0.87, Loss = 0.278
[2019-11-27 17:27] Train Step 0390/10000, Batch Size = 128, Model type RNN, Examples/Sec = 23992.09, Accuracy = 0.84, Loss = 0.335
[2019-11-27 17:27] Train Step 0400/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24013.55, Accuracy = 0.98, Loss = 0.228
[2019-11-27 17:27] Train Step 0410/10000, Batch Size = 128, Model type RNN, Examples/Sec = 23955.69, Accuracy = 0.92, Loss = 0.248
[2019-11-27 17:27] Train Step 0420/10000, Batch Size = 128, Model type RNN, Examples/Sec = 23018.95, Accuracy = 0.88, Loss = 0.253
[2019-11-27 17:27] Train Step 0430/10000, Batch Size = 128, Model type RNN, Examples/Sec = 23520.15, Accuracy = 0.93, Loss = 0.225
[2019-11-27 17:27] Train Step 0440/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24041.51, Accuracy = 0.99, Loss = 0.182
[2019-11-27 17:27] Train Step 0450/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24033.97, Accuracy = 0.94, Loss = 0.225
[2019-11-27 17:27] Train Step 0460/10000, Batch Size = 128, Model type RNN, Examples/Sec = 23997.45, Accuracy = 0.99, Loss = 0.216
[2019-11-27 17:27] Train Step 0470/10000, Batch Size = 128, Model type RNN, Examples/Sec = 23901.30, Accuracy = 0.99, Loss = 0.209
[2019-11-27 17:27] Train Step 0480/10000, Batch Size = 128, Model type RNN, Examples/Sec = 23804.86, Accuracy = 0.96, Loss = 0.200
[2019-11-27 17:27] Train Step 0490/10000, Batch Size = 128, Model type RNN, Examples/Sec = 23549.04, Accuracy = 1.00, Loss = 0.185
[2019-11-27 17:27] Train Step 0500/10000, Batch Size = 128, Model type RNN, Examples/Sec = 22308.27, Accuracy = 0.92, Loss = 0.168
[2019-11-27 17:27] Train Step 0510/10000, Batch Size = 128, Model type RNN, Examples/Sec = 23985.65, Accuracy = 0.99, Loss = 0.145
[2019-11-27 17:27] Train Step 0520/10000, Batch Size = 128, Model type RNN, Examples/Sec = 23891.72, Accuracy = 0.96, Loss = 0.170
[2019-11-27 17:27] Train Step 0530/10000, Batch Size = 128, Model type RNN, Examples/Sec = 23900.23, Accuracy = 0.91, Loss = 0.155
[2019-11-27 17:27] Train Step 0540/10000, Batch Size = 128, Model type RNN, Examples/Sec = 23968.52, Accuracy = 1.00, Loss = 0.097
[2019-11-27 17:27] Train Step 0550/10000, Batch Size = 128, Model type RNN, Examples/Sec = 23571.78, Accuracy = 0.96, Loss = 0.155
[2019-11-27 17:27] Train Step 0560/10000, Batch Size = 128, Model type RNN, Examples/Sec = 23770.07, Accuracy = 0.88, Loss = 0.251
[2019-11-27 17:27] Train Step 0570/10000, Batch Size = 128, Model type RNN, Examples/Sec = 23919.40, Accuracy = 1.00, Loss = 0.134
[2019-11-27 17:27] Train Step 0580/10000, Batch Size = 128, Model type RNN, Examples/Sec = 23822.81, Accuracy = 0.88, Loss = 0.176
[2019-11-27 17:27] Train Step 0590/10000, Batch Size = 128, Model type RNN, Examples/Sec = 21939.96, Accuracy = 1.00, Loss = 0.126
[2019-11-27 17:27] Train Step 0600/10000, Batch Size = 128, Model type RNN, Examples/Sec = 23791.14, Accuracy = 0.93, Loss = 0.139
[2019-11-27 17:27] Train Step 0610/10000, Batch Size = 128, Model type RNN, Examples/Sec = 23873.66, Accuracy = 1.00, Loss = 0.106
[2019-11-27 17:27] Train Step 0620/10000, Batch Size = 128, Model type RNN, Examples/Sec = 23670.51, Accuracy = 0.98, Loss = 0.126
[2019-11-27 17:27] Train Step 0630/10000, Batch Size = 128, Model type RNN, Examples/Sec = 23762.71, Accuracy = 0.98, Loss = 0.124
[2019-11-27 17:27] Train Step 0640/10000, Batch Size = 128, Model type RNN, Examples/Sec = 23958.89, Accuracy = 0.98, Loss = 0.140
[2019-11-27 17:27] Train Step 0650/10000, Batch Size = 128, Model type RNN, Examples/Sec = 23911.94, Accuracy = 0.99, Loss = 0.118
[2019-11-27 17:27] Train Step 0660/10000, Batch Size = 128, Model type RNN, Examples/Sec = 23860.93, Accuracy = 0.96, Loss = 0.118
[2019-11-27 17:27] Train Step 0670/10000, Batch Size = 128, Model type RNN, Examples/Sec = 23951.41, Accuracy = 0.98, Loss = 0.119
[2019-11-27 17:27] Train Step 0680/10000, Batch Size = 128, Model type RNN, Examples/Sec = 23769.02, Accuracy = 0.94, Loss = 0.136
[2019-11-27 17:27] Train Step 0690/10000, Batch Size = 128, Model type RNN, Examples/Sec = 23662.17, Accuracy = 1.00, Loss = 0.093
[2019-11-27 17:27] Train Step 0700/10000, Batch Size = 128, Model type RNN, Examples/Sec = 23906.62, Accuracy = 0.98, Loss = 0.074
[2019-11-27 17:27] Train Step 0710/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24072.77, Accuracy = 1.00, Loss = 0.079
[2019-11-27 17:27] Train Step 0720/10000, Batch Size = 128, Model type RNN, Examples/Sec = 23901.30, Accuracy = 0.99, Loss = 0.069
[2019-11-27 17:27] Train Step 0730/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24324.72, Accuracy = 1.00, Loss = 0.043
[2019-11-27 17:27] Train Step 0740/10000, Batch Size = 128, Model type RNN, Examples/Sec = 22681.49, Accuracy = 0.98, Loss = 0.070
[2019-11-27 17:27] Train Step 0750/10000, Batch Size = 128, Model type RNN, Examples/Sec = 23669.47, Accuracy = 0.98, Loss = 0.101
[2019-11-27 17:27] Train Step 0760/10000, Batch Size = 128, Model type RNN, Examples/Sec = 23936.46, Accuracy = 0.98, Loss = 0.086
[2019-11-27 17:27] Train Step 0770/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24135.54, Accuracy = 1.00, Loss = 0.021
[2019-11-27 17:27] Train Step 0780/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24393.24, Accuracy = 1.00, Loss = 0.020
[2019-11-27 17:27] Train Step 0790/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24382.17, Accuracy = 1.00, Loss = 0.016
[2019-11-27 17:27] Train Step 0800/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24310.40, Accuracy = 1.00, Loss = 0.015
[2019-11-27 17:27] Train Step 0810/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24006.03, Accuracy = 1.00, Loss = 0.016
[2019-11-27 17:27] Train Step 0820/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24269.74, Accuracy = 1.00, Loss = 0.015
[2019-11-27 17:27] Train Step 0830/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24329.13, Accuracy = 1.00, Loss = 0.012
[2019-11-27 17:27] Train Step 0840/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24402.11, Accuracy = 1.00, Loss = 0.013
[2019-11-27 17:27] Train Step 0850/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24360.04, Accuracy = 1.00, Loss = 0.013
[2019-11-27 17:27] Train Step 0860/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24108.44, Accuracy = 1.00, Loss = 0.012
[2019-11-27 17:27] Train Step 0870/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24428.76, Accuracy = 1.00, Loss = 0.009
[2019-11-27 17:27] Train Step 0880/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24304.90, Accuracy = 1.00, Loss = 0.010
