ERROR: Unable to locate a modulefile for 'torque/default'
ERROR: Unable to locate a modulefile for 'oldwheezy/1.0'
ERROR: Unable to locate a modulefile for 'licenses/1.0'
ERROR: Unable to locate a modulefile for 'stdenv/1.3'
ERROR: Unable to locate a modulefile for 'libgfortran/32/1'
train.py:104: UserWarning: torch.nn.utils.clip_grad_norm is now deprecated in favor of torch.nn.utils.clip_grad_norm_.
  torch.nn.utils.clip_grad_norm(model.parameters(), max_norm=config.max_norm)
[2019-11-27 17:21] Train Step 0000/10000, Batch Size = 128, Model type RNN, Examples/Sec = 6345.62, Accuracy = 0.15, Loss = 2.318
[2019-11-27 17:21] Train Step 0230/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24351.20, Accuracy = 0.89, Loss = 0.397
[2019-11-27 17:21] Train Step 0240/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24681.45, Accuracy = 0.91, Loss = 0.384
[2019-11-27 17:21] Train Step 0250/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24835.59, Accuracy = 0.84, Loss = 0.415
[2019-11-27 17:21] Train Step 0260/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24641.80, Accuracy = 0.84, Loss = 0.417
[2019-11-27 17:21] Train Step 0270/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24962.61, Accuracy = 0.90, Loss = 0.354
[2019-11-27 17:21] Train Step 0280/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24373.31, Accuracy = 0.91, Loss = 0.335
[2019-11-27 17:21] Train Step 0290/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24894.32, Accuracy = 0.89, Loss = 0.339
[2019-11-27 17:21] Train Step 0300/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24724.64, Accuracy = 0.92, Loss = 0.300
[2019-11-27 17:21] Train Step 0310/10000, Batch Size = 128, Model type RNN, Examples/Sec = 22769.99, Accuracy = 0.90, Loss = 0.289
[2019-11-27 17:21] Train Step 0320/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24877.02, Accuracy = 0.92, Loss = 0.270
[2019-11-27 17:21] Train Step 0330/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24729.20, Accuracy = 1.00, Loss = 0.294
[2019-11-27 17:21] Train Step 0340/10000, Batch Size = 128, Model type RNN, Examples/Sec = 23352.37, Accuracy = 0.97, Loss = 0.215
[2019-11-27 17:21] Train Step 0350/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24691.67, Accuracy = 0.85, Loss = 0.321
[2019-11-27 17:21] Train Step 0360/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24805.75, Accuracy = 0.88, Loss = 0.280
[2019-11-27 17:21] Train Step 0370/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24839.04, Accuracy = 0.88, Loss = 0.259
[2019-11-27 17:21] Train Step 0380/10000, Batch Size = 128, Model type RNN, Examples/Sec = 22863.08, Accuracy = 0.93, Loss = 0.253
[2019-11-27 17:21] Train Step 0390/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24879.32, Accuracy = 0.91, Loss = 0.240
[2019-11-27 17:21] Train Step 0400/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24741.74, Accuracy = 0.87, Loss = 0.266
[2019-11-27 17:21] Train Step 0410/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24703.03, Accuracy = 0.92, Loss = 0.186
[2019-11-27 17:21] Train Step 0420/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24455.47, Accuracy = 0.95, Loss = 0.209
[2019-11-27 17:21] Train Step 0430/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24362.25, Accuracy = 0.96, Loss = 0.192
[2019-11-27 17:21] Train Step 0440/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24693.94, Accuracy = 0.92, Loss = 0.217
[2019-11-27 17:21] Train Step 0450/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25167.40, Accuracy = 0.95, Loss = 0.153
[2019-11-27 17:21] Train Step 0460/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24825.25, Accuracy = 0.94, Loss = 0.184
[2019-11-27 17:21] Train Step 0470/10000, Batch Size = 128, Model type RNN, Examples/Sec = 22774.82, Accuracy = 0.95, Loss = 0.195
[2019-11-27 17:21] Train Step 0480/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24720.09, Accuracy = 0.93, Loss = 0.169
[2019-11-27 17:21] Train Step 0490/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24420.98, Accuracy = 0.95, Loss = 0.189
[2019-11-27 17:21] Train Step 0500/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24879.32, Accuracy = 0.99, Loss = 0.157
[2019-11-27 17:21] Train Step 0510/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24616.94, Accuracy = 0.95, Loss = 0.195
[2019-11-27 17:21] Train Step 0520/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24836.74, Accuracy = 0.95, Loss = 0.144
[2019-11-27 17:21] Train Step 0530/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24533.70, Accuracy = 0.95, Loss = 0.146
[2019-11-27 17:21] Train Step 0540/10000, Batch Size = 128, Model type RNN, Examples/Sec = 22541.50, Accuracy = 0.98, Loss = 0.146
[2019-11-27 17:21] Train Step 0550/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24782.85, Accuracy = 0.95, Loss = 0.173
[2019-11-27 17:21] Train Step 0560/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25196.93, Accuracy = 0.99, Loss = 0.110
[2019-11-27 17:21] Train Step 0570/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24708.71, Accuracy = 0.93, Loss = 0.143
[2019-11-27 17:21] Train Step 0580/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24780.56, Accuracy = 1.00, Loss = 0.107
[2019-11-27 17:21] Train Step 0590/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24896.63, Accuracy = 0.88, Loss = 0.209
[2019-11-27 17:21] Train Step 0600/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24328.03, Accuracy = 0.94, Loss = 0.118
[2019-11-27 17:21] Train Step 0610/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24598.90, Accuracy = 0.96, Loss = 0.111
[2019-11-27 17:21] Train Step 0620/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24820.66, Accuracy = 1.00, Loss = 0.088
[2019-11-27 17:21] Train Step 0630/10000, Batch Size = 128, Model type RNN, Examples/Sec = 22350.07, Accuracy = 0.98, Loss = 0.102
[2019-11-27 17:21] Train Step 0640/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24615.81, Accuracy = 1.00, Loss = 0.076
[2019-11-27 17:21] Train Step 0650/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24638.41, Accuracy = 0.91, Loss = 0.124
[2019-11-27 17:21] Train Step 0660/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24712.12, Accuracy = 0.99, Loss = 0.093
[2019-11-27 17:21] Train Step 0670/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24569.63, Accuracy = 1.00, Loss = 0.090
[2019-11-27 17:21] Train Step 0680/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24606.79, Accuracy = 0.98, Loss = 0.121
[2019-11-27 17:21] Train Step 0690/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24786.28, Accuracy = 1.00, Loss = 0.089
[2019-11-27 17:21] Train Step 0700/10000, Batch Size = 128, Model type RNN, Examples/Sec = 22779.66, Accuracy = 1.00, Loss = 0.064
[2019-11-27 17:21] Train Step 0710/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25021.95, Accuracy = 1.00, Loss = 0.052
[2019-11-27 17:21] Train Step 0720/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24604.53, Accuracy = 0.97, Loss = 0.082
[2019-11-27 17:21] Train Step 0730/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24724.64, Accuracy = 1.00, Loss = 0.075
[2019-11-27 17:21] Train Step 0740/10000, Batch Size = 128, Model type RNN, Examples/Sec = 21858.67, Accuracy = 1.00, Loss = 0.086
[2019-11-27 17:21] Train Step 0750/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24633.89, Accuracy = 1.00, Loss = 0.071
[2019-11-27 17:21] Train Step 0760/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24839.04, Accuracy = 1.00, Loss = 0.040
[2019-11-27 17:21] Train Step 0770/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24668.98, Accuracy = 1.00, Loss = 0.055
[2019-11-27 17:21] Train Step 0780/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24620.33, Accuracy = 1.00, Loss = 0.049
[2019-11-27 17:21] Train Step 0790/10000, Batch Size = 128, Model type RNN, Examples/Sec = 22752.62, Accuracy = 1.00, Loss = 0.043
[2019-11-27 17:21] Train Step 0800/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24802.32, Accuracy = 1.00, Loss = 0.035
[2019-11-27 17:21] Train Step 0810/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24806.90, Accuracy = 1.00, Loss = 0.054
[2019-11-27 17:21] Train Step 0820/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25067.51, Accuracy = 1.00, Loss = 0.010
[2019-11-27 17:21] Train Step 0830/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24715.54, Accuracy = 1.00, Loss = 0.011
[2019-11-27 17:21] Train Step 0840/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25496.08, Accuracy = 1.00, Loss = 0.010
[2019-11-27 17:21] Train Step 0850/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24397.68, Accuracy = 1.00, Loss = 0.008
[2019-11-27 17:21] Train Step 0860/10000, Batch Size = 128, Model type RNN, Examples/Sec = 23176.95, Accuracy = 1.00, Loss = 0.009
[2019-11-27 17:21] Train Step 0870/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24742.88, Accuracy = 1.00, Loss = 0.009
[2019-11-27 17:21] Train Step 0880/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25088.60, Accuracy = 1.00, Loss = 0.009
[2019-11-27 17:21] Train Step 0890/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25287.12, Accuracy = 1.00, Loss = 0.007
[2019-11-27 17:21] Train Step 0900/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25346.82, Accuracy = 1.00, Loss = 0.007
[2019-11-27 17:21] Train Step 0910/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24793.15, Accuracy = 1.00, Loss = 0.007
[2019-11-27 17:21] Train Step 0920/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25263.32, Accuracy = 1.00, Loss = 0.006
