ERROR: Unable to locate a modulefile for 'torque/default'
ERROR: Unable to locate a modulefile for 'oldwheezy/1.0'
ERROR: Unable to locate a modulefile for 'licenses/1.0'
ERROR: Unable to locate a modulefile for 'stdenv/1.3'
ERROR: Unable to locate a modulefile for 'libgfortran/32/1'
----------------------------------------------INPUT LENGTH  5  iteration  0  ------------------------

/home/lgpu0119/DL_assignments_2019/assignment_2/part1/train.py:104: UserWarning: torch.nn.utils.clip_grad_norm is now deprecated in favor of torch.nn.utils.clip_grad_norm_.
  torch.nn.utils.clip_grad_norm(model.parameters(), max_norm=config.max_norm)
[2019-11-28 15:08] Train Step 0000/10000, Batch Size = 128, Model type RNN, Examples/Sec = 9909.76, Accuracy = 0.09, Loss = 2.320
[2019-11-28 15:08] Train Step 0110/10000, Batch Size = 128, Model type RNN, Examples/Sec = 17422.95, Accuracy = 0.65, Loss = 0.825
[2019-11-28 15:08] Train Step 0120/10000, Batch Size = 128, Model type RNN, Examples/Sec = 18510.88, Accuracy = 0.69, Loss = 0.737
[2019-11-28 15:08] Train Step 0130/10000, Batch Size = 128, Model type RNN, Examples/Sec = 17019.75, Accuracy = 0.74, Loss = 0.622
[2019-11-28 15:08] Train Step 0140/10000, Batch Size = 128, Model type RNN, Examples/Sec = 18679.62, Accuracy = 0.82, Loss = 0.584
[2019-11-28 15:08] Train Step 0150/10000, Batch Size = 128, Model type RNN, Examples/Sec = 15536.26, Accuracy = 0.72, Loss = 0.676
[2019-11-28 15:08] Train Step 0160/10000, Batch Size = 128, Model type RNN, Examples/Sec = 17345.83, Accuracy = 0.71, Loss = 0.605
[2019-11-28 15:08] Train Step 0170/10000, Batch Size = 128, Model type RNN, Examples/Sec = 17105.43, Accuracy = 0.83, Loss = 0.542
[2019-11-28 15:08] Train Step 0180/10000, Batch Size = 128, Model type RNN, Examples/Sec = 15980.20, Accuracy = 0.66, Loss = 0.589
[2019-11-28 15:08] Train Step 0190/10000, Batch Size = 128, Model type RNN, Examples/Sec = 17072.25, Accuracy = 0.91, Loss = 0.476
[2019-11-28 15:08] Train Step 0200/10000, Batch Size = 128, Model type RNN, Examples/Sec = 17859.38, Accuracy = 0.60, Loss = 0.608
[2019-11-28 15:08] Train Step 0210/10000, Batch Size = 128, Model type RNN, Examples/Sec = 17885.56, Accuracy = 0.94, Loss = 0.378
[2019-11-28 15:08] Train Step 0220/10000, Batch Size = 128, Model type RNN, Examples/Sec = 17152.43, Accuracy = 0.82, Loss = 0.455
[2019-11-28 15:08] Train Step 0230/10000, Batch Size = 128, Model type RNN, Examples/Sec = 17905.25, Accuracy = 0.68, Loss = 0.488
[2019-11-28 15:08] Train Step 0240/10000, Batch Size = 128, Model type RNN, Examples/Sec = 16480.57, Accuracy = 0.84, Loss = 0.464
[2019-11-28 15:08] Train Step 0250/10000, Batch Size = 128, Model type RNN, Examples/Sec = 18255.95, Accuracy = 0.92, Loss = 0.379
[2019-11-28 15:08] Train Step 0260/10000, Batch Size = 128, Model type RNN, Examples/Sec = 16826.12, Accuracy = 0.84, Loss = 0.369
[2019-11-28 15:08] Train Step 0270/10000, Batch Size = 128, Model type RNN, Examples/Sec = 17576.39, Accuracy = 0.80, Loss = 0.366
[2019-11-28 15:08] Train Step 0280/10000, Batch Size = 128, Model type RNN, Examples/Sec = 15490.53, Accuracy = 0.83, Loss = 0.379
[2019-11-28 15:08] Train Step 0290/10000, Batch Size = 128, Model type RNN, Examples/Sec = 15662.26, Accuracy = 0.81, Loss = 0.379
[2019-11-28 15:08] Train Step 0300/10000, Batch Size = 128, Model type RNN, Examples/Sec = 17044.60, Accuracy = 1.00, Loss = 0.249
[2019-11-28 15:08] Train Step 0310/10000, Batch Size = 128, Model type RNN, Examples/Sec = 16669.39, Accuracy = 0.70, Loss = 0.450
[2019-11-28 15:08] Train Step 0320/10000, Batch Size = 128, Model type RNN, Examples/Sec = 19963.22, Accuracy = 0.78, Loss = 0.402
[2019-11-28 15:08] Train Step 0330/10000, Batch Size = 128, Model type RNN, Examples/Sec = 19582.39, Accuracy = 0.91, Loss = 0.328
[2019-11-28 15:08] Train Step 0340/10000, Batch Size = 128, Model type RNN, Examples/Sec = 14878.36, Accuracy = 0.99, Loss = 0.323
[2019-11-28 15:08] Train Step 0350/10000, Batch Size = 128, Model type RNN, Examples/Sec = 16017.39, Accuracy = 0.98, Loss = 0.236
[2019-11-28 15:08] Train Step 0360/10000, Batch Size = 128, Model type RNN, Examples/Sec = 16340.62, Accuracy = 0.85, Loss = 0.317
[2019-11-28 15:08] Train Step 0370/10000, Batch Size = 128, Model type RNN, Examples/Sec = 15572.31, Accuracy = 0.87, Loss = 0.296
[2019-11-28 15:08] Train Step 0380/10000, Batch Size = 128, Model type RNN, Examples/Sec = 16565.49, Accuracy = 0.85, Loss = 0.311
[2019-11-28 15:08] Train Step 0390/10000, Batch Size = 128, Model type RNN, Examples/Sec = 19900.32, Accuracy = 0.91, Loss = 0.231
[2019-11-28 15:08] Train Step 0400/10000, Batch Size = 128, Model type RNN, Examples/Sec = 19193.84, Accuracy = 0.97, Loss = 0.280
[2019-11-28 15:08] Train Step 0410/10000, Batch Size = 128, Model type RNN, Examples/Sec = 17916.00, Accuracy = 0.96, Loss = 0.265
[2019-11-28 15:08] Train Step 0420/10000, Batch Size = 128, Model type RNN, Examples/Sec = 17696.90, Accuracy = 1.00, Loss = 0.189
[2019-11-28 15:08] Train Step 0430/10000, Batch Size = 128, Model type RNN, Examples/Sec = 17620.81, Accuracy = 0.99, Loss = 0.255
[2019-11-28 15:08] Train Step 0440/10000, Batch Size = 128, Model type RNN, Examples/Sec = 18528.12, Accuracy = 0.96, Loss = 0.191
[2019-11-28 15:08] Train Step 0450/10000, Batch Size = 128, Model type RNN, Examples/Sec = 19253.73, Accuracy = 0.95, Loss = 0.219
[2019-11-28 15:08] Train Step 0460/10000, Batch Size = 128, Model type RNN, Examples/Sec = 16511.99, Accuracy = 0.96, Loss = 0.205
[2019-11-28 15:08] Train Step 0470/10000, Batch Size = 128, Model type RNN, Examples/Sec = 16819.26, Accuracy = 0.95, Loss = 0.199
[2019-11-28 15:08] Train Step 0480/10000, Batch Size = 128, Model type RNN, Examples/Sec = 20093.98, Accuracy = 0.99, Loss = 0.178
[2019-11-28 15:08] Train Step 0490/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24357.83, Accuracy = 0.84, Loss = 0.243
[2019-11-28 15:08] Train Step 0500/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24937.10, Accuracy = 1.00, Loss = 0.146
[2019-11-28 15:08] Train Step 0510/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24862.04, Accuracy = 0.98, Loss = 0.145
[2019-11-28 15:08] Train Step 0520/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24500.11, Accuracy = 0.95, Loss = 0.195
[2019-11-28 15:08] Train Step 0530/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24331.34, Accuracy = 1.00, Loss = 0.150
[2019-11-28 15:08] Train Step 0540/10000, Batch Size = 128, Model type RNN, Examples/Sec = 22556.65, Accuracy = 0.97, Loss = 0.192
[2019-11-28 15:08] Train Step 0550/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24842.48, Accuracy = 1.00, Loss = 0.141
[2019-11-28 15:08] Train Step 0560/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24630.50, Accuracy = 1.00, Loss = 0.110
[2019-11-28 15:08] Train Step 0570/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24835.59, Accuracy = 0.91, Loss = 0.156
[2019-11-28 15:08] Train Step 0580/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24471.07, Accuracy = 0.88, Loss = 0.220
[2019-11-28 15:08] Train Step 0590/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24365.57, Accuracy = 0.91, Loss = 0.180
[2019-11-28 15:08] Train Step 0600/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24963.77, Accuracy = 1.00, Loss = 0.076
[2019-11-28 15:08] Train Step 0610/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24392.14, Accuracy = 0.89, Loss = 0.191
[2019-11-28 15:08] Train Step 0620/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24382.17, Accuracy = 1.00, Loss = 0.121
[2019-11-28 15:08] Train Step 0630/10000, Batch Size = 128, Model type RNN, Examples/Sec = 22677.66, Accuracy = 0.95, Loss = 0.126
[2019-11-28 15:08] Train Step 0640/10000, Batch Size = 128, Model type RNN, Examples/Sec = 20629.84, Accuracy = 1.00, Loss = 0.096
[2019-11-28 15:08] Train Step 0650/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24493.40, Accuracy = 0.94, Loss = 0.131
[2019-11-28 15:08] Train Step 0660/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24955.65, Accuracy = 1.00, Loss = 0.059
[2019-11-28 15:08] Train Step 0670/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24520.25, Accuracy = 1.00, Loss = 0.108
[2019-11-28 15:08] Train Step 0680/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24984.69, Accuracy = 1.00, Loss = 0.088
[2019-11-28 15:08] Train Step 0690/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25042.96, Accuracy = 1.00, Loss = 0.055
[2019-11-28 15:08] Train Step 0700/10000, Batch Size = 128, Model type RNN, Examples/Sec = 22773.86, Accuracy = 1.00, Loss = 0.095
[2019-11-28 15:08] Train Step 0710/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24322.52, Accuracy = 0.92, Loss = 0.150
[2019-11-28 15:08] Train Step 0720/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24944.06, Accuracy = 0.99, Loss = 0.075
[2019-11-28 15:08] Train Step 0730/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25075.71, Accuracy = 1.00, Loss = 0.083
[2019-11-28 15:08] Train Step 0740/10000, Batch Size = 128, Model type RNN, Examples/Sec = 21373.95, Accuracy = 1.00, Loss = 0.082
[2019-11-28 15:08] Train Step 0750/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24522.49, Accuracy = 0.98, Loss = 0.085
[2019-11-28 15:08] Train Step 0760/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24482.23, Accuracy = 1.00, Loss = 0.070
[2019-11-28 15:08] Train Step 0770/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24839.04, Accuracy = 1.00, Loss = 0.073
[2019-11-28 15:08] Train Step 0780/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24975.39, Accuracy = 1.00, Loss = 0.041
[2019-11-28 15:08] Train Step 0790/10000, Batch Size = 128, Model type RNN, Examples/Sec = 22951.05, Accuracy = 1.00, Loss = 0.022
[2019-11-28 15:08] Train Step 0800/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25103.85, Accuracy = 1.00, Loss = 0.022
[2019-11-28 15:08] Train Step 0810/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25028.95, Accuracy = 1.00, Loss = 0.020
[2019-11-28 15:08] Train Step 0820/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24850.53, Accuracy = 1.00, Loss = 0.018
[2019-11-28 15:08] Train Step 0830/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25221.78, Accuracy = 1.00, Loss = 0.016
[2019-11-28 15:08] Train Step 0840/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24786.28, Accuracy = 1.00, Loss = 0.017
[2019-11-28 15:08] Train Step 0850/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24951.01, Accuracy = 1.00, Loss = 0.014
[2019-11-28 15:08] Train Step 0860/10000, Batch Size = 128, Model type RNN, Examples/Sec = 23106.13, Accuracy = 1.00, Loss = 0.013
[2019-11-28 15:08] Train Step 0870/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25122.64, Accuracy = 1.00, Loss = 0.014
[2019-11-28 15:08] Train Step 0880/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25083.91, Accuracy = 1.00, Loss = 0.012
[2019-11-28 15:08] Train Step 0890/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25053.47, Accuracy = 1.00, Loss = 0.013
[2019-11-28 15:08] Train Step 0900/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25237.20, Accuracy = 1.00, Loss = 0.011
[2019-11-28 15:08] Train Step 0910/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25200.47, Accuracy = 1.00, Loss = 0.010
[2019-11-28 15:08] Train Step 0920/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24806.90, Accuracy = 1.00, Loss = 0.009
[2019-11-28 15:08] Train Step 0930/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24663.31, Accuracy = 1.00, Loss = 0.010
[2019-11-28 15:08] Train Step 0940/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24684.86, Accuracy = 1.00, Loss = 0.008
[2019-11-28 15:08] Train Step 0950/10000, Batch Size = 128, Model type RNN, Examples/Sec = 22793.19, Accuracy = 1.00, Loss = 0.008
[2019-11-28 15:08] Train Step 0960/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24555.02, Accuracy = 1.00, Loss = 0.007
[2019-11-28 15:08] Train Step 0970/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24732.62, Accuracy = 1.00, Loss = 0.007
[2019-11-28 15:08] Train Step 0980/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24684.86, Accuracy = 1.00, Loss = 0.006
[2019-11-28 15:08] Train Step 0990/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24548.28, Accuracy = 1.00, Loss = 0.005
[2019-11-28 15:08] Train Step 1000/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24725.78, Accuracy = 1.00, Loss = 0.007
[2019-11-28 15:08] Train Step 1010/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24961.45, Accuracy = 1.00, Loss = 0.005
[2019-11-28 15:08] Train Step 1020/10000, Batch Size = 128, Model type RNN, Examples/Sec = 22736.24, Accuracy = 1.00, Loss = 0.005
[2019-11-28 15:08] Train Step 1030/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24706.44, Accuracy = 1.00, Loss = 0.005
[2019-11-28 15:08] Train Step 1040/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25213.49, Accuracy = 1.00, Loss = 0.004
[2019-11-28 15:08] Train Step 1050/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24761.13, Accuracy = 1.00, Loss = 0.004
[2019-11-28 15:08] Train Step 1060/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24709.85, Accuracy = 1.00, Loss = 0.004
[2019-11-28 15:08] Train Step 1070/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25053.47, Accuracy = 1.00, Loss = 0.003
[2019-11-28 15:08] Train Step 1080/10000, Batch Size = 128, Model type RNN, Examples/Sec = 23518.09, Accuracy = 1.00, Loss = 0.003
[2019-11-28 15:08] Train Step 1090/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24434.32, Accuracy = 1.00, Loss = 0.003
[2019-11-28 15:08] Train Step 1100/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24486.70, Accuracy = 1.00, Loss = 0.003
[2019-11-28 15:08] Train Step 1110/10000, Batch Size = 128, Model type RNN, Examples/Sec = 22553.81, Accuracy = 1.00, Loss = 0.003
[2019-11-28 15:08] Train Step 1120/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24852.83, Accuracy = 1.00, Loss = 0.003
[2019-11-28 15:08] Train Step 1130/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25045.29, Accuracy = 1.00, Loss = 0.003
[2019-11-28 15:08] Train Step 1140/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25082.74, Accuracy = 1.00, Loss = 0.003
[2019-11-28 15:08] Train Step 1150/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25037.12, Accuracy = 1.00, Loss = 0.002
[2019-11-28 15:08] Train Step 1160/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25009.13, Accuracy = 1.00, Loss = 0.002
[2019-11-28 15:08] Train Step 1170/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24461.04, Accuracy = 1.00, Loss = 0.002
[2019-11-28 15:08] Train Step 1180/10000, Batch Size = 128, Model type RNN, Examples/Sec = 22685.33, Accuracy = 1.00, Loss = 0.002
[2019-11-28 15:08] Train Step 1190/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24560.63, Accuracy = 1.00, Loss = 0.002
[2019-11-28 15:08] Train Step 1200/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24483.35, Accuracy = 1.00, Loss = 0.002
[2019-11-28 15:08] Train Step 1210/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24109.53, Accuracy = 1.00, Loss = 0.002
[2019-11-28 15:08] Train Step 1220/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24446.56, Accuracy = 1.00, Loss = 0.001
[2019-11-28 15:08] Train Step 1230/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24456.58, Accuracy = 1.00, Loss = 0.001
[2019-11-28 15:08] Train Step 1240/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24216.10, Accuracy = 1.00, Loss = 0.001
[2019-11-28 15:08] Train Step 1250/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24638.41, Accuracy = 1.00, Loss = 0.001
[2019-11-28 15:08] Train Step 1260/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24381.06, Accuracy = 1.00, Loss = 0.001
[2019-11-28 15:08] Train Step 1270/10000, Batch Size = 128, Model type RNN, Examples/Sec = 21971.39, Accuracy = 1.00, Loss = 0.001
[2019-11-28 15:08] Train Step 1280/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25048.80, Accuracy = 1.00, Loss = 0.001
[2019-11-28 15:08] Train Step 1290/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25048.80, Accuracy = 1.00, Loss = 0.001
----------------------------------------------INPUT LENGTH  5  iteration  1  ------------------------

[2019-11-28 15:08] Train Step 0000/10000, Batch Size = 128, Model type RNN, Examples/Sec = 10553.16, Accuracy = 0.14, Loss = 2.308
[2019-11-28 15:08] Train Step 0010/10000, Batch Size = 128, Model type RNN, Examples/Sec = 22994.30, Accuracy = 0.22, Loss = 1.857
[2019-11-28 15:08] Train Step 0020/10000, Batch Size = 128, Model type RNN, Examples/Sec = 23164.95, Accuracy = 0.37, Loss = 1.611
[2019-11-28 15:08] Train Step 0030/10000, Batch Size = 128, Model type RNN, Examples/Sec = 23689.31, Accuracy = 0.34, Loss = 1.465
[2019-11-28 15:08] Train Step 0040/10000, Batch Size = 128, Model type RNN, Examples/Sec = 20621.12, Accuracy = 0.41, Loss = 1.307
[2019-11-28 15:08] Train Step 0050/10000, Batch Size = 128, Model type RNN, Examples/Sec = 17872.46, Accuracy = 0.67, Loss = 1.111
[2019-11-28 15:08] Train Step 0060/10000, Batch Size = 128, Model type RNN, Examples/Sec = 18782.87, Accuracy = 0.58, Loss = 1.123
[2019-11-28 15:08] Train Step 0070/10000, Batch Size = 128, Model type RNN, Examples/Sec = 23342.21, Accuracy = 0.70, Loss = 0.969
[2019-11-28 15:08] Train Step 0080/10000, Batch Size = 128, Model type RNN, Examples/Sec = 16998.73, Accuracy = 0.64, Loss = 0.974
[2019-11-28 15:08] Train Step 0090/10000, Batch Size = 128, Model type RNN, Examples/Sec = 18205.19, Accuracy = 0.68, Loss = 0.853
[2019-11-28 15:08] Train Step 0100/10000, Batch Size = 128, Model type RNN, Examples/Sec = 21761.21, Accuracy = 0.80, Loss = 0.783
[2019-11-28 15:08] Train Step 0110/10000, Batch Size = 128, Model type RNN, Examples/Sec = 22570.88, Accuracy = 0.65, Loss = 0.830
[2019-11-28 15:08] Train Step 0120/10000, Batch Size = 128, Model type RNN, Examples/Sec = 16680.26, Accuracy = 0.79, Loss = 0.671
[2019-11-28 15:08] Train Step 0130/10000, Batch Size = 128, Model type RNN, Examples/Sec = 18573.63, Accuracy = 0.77, Loss = 0.699
[2019-11-28 15:08] Train Step 0140/10000, Batch Size = 128, Model type RNN, Examples/Sec = 17395.29, Accuracy = 0.75, Loss = 0.660
[2019-11-28 15:08] Train Step 0150/10000, Batch Size = 128, Model type RNN, Examples/Sec = 15847.18, Accuracy = 0.75, Loss = 0.635
[2019-11-28 15:08] Train Step 0160/10000, Batch Size = 128, Model type RNN, Examples/Sec = 18887.94, Accuracy = 0.70, Loss = 0.593
[2019-11-28 15:08] Train Step 0170/10000, Batch Size = 128, Model type RNN, Examples/Sec = 16838.78, Accuracy = 0.69, Loss = 0.604
[2019-11-28 15:08] Train Step 0180/10000, Batch Size = 128, Model type RNN, Examples/Sec = 16934.92, Accuracy = 0.83, Loss = 0.555
[2019-11-28 15:08] Train Step 0190/10000, Batch Size = 128, Model type RNN, Examples/Sec = 16472.98, Accuracy = 0.86, Loss = 0.487
[2019-11-28 15:08] Train Step 0200/10000, Batch Size = 128, Model type RNN, Examples/Sec = 16953.10, Accuracy = 0.77, Loss = 0.494
[2019-11-28 15:08] Train Step 0210/10000, Batch Size = 128, Model type RNN, Examples/Sec = 16000.68, Accuracy = 0.83, Loss = 0.452
[2019-11-28 15:08] Train Step 0220/10000, Batch Size = 128, Model type RNN, Examples/Sec = 17865.92, Accuracy = 0.87, Loss = 0.436
[2019-11-28 15:08] Train Step 0230/10000, Batch Size = 128, Model type RNN, Examples/Sec = 18587.78, Accuracy = 0.78, Loss = 0.492
[2019-11-28 15:08] Train Step 0240/10000, Batch Size = 128, Model type RNN, Examples/Sec = 17089.09, Accuracy = 0.91, Loss = 0.384
[2019-11-28 15:08] Train Step 0250/10000, Batch Size = 128, Model type RNN, Examples/Sec = 18707.61, Accuracy = 0.91, Loss = 0.380
[2019-11-28 15:08] Train Step 0260/10000, Batch Size = 128, Model type RNN, Examples/Sec = 18526.84, Accuracy = 0.87, Loss = 0.393
[2019-11-28 15:08] Train Step 0270/10000, Batch Size = 128, Model type RNN, Examples/Sec = 16764.64, Accuracy = 0.95, Loss = 0.338
[2019-11-28 15:08] Train Step 0280/10000, Batch Size = 128, Model type RNN, Examples/Sec = 16345.59, Accuracy = 0.88, Loss = 0.322
[2019-11-28 15:08] Train Step 0290/10000, Batch Size = 128, Model type RNN, Examples/Sec = 16643.55, Accuracy = 0.77, Loss = 0.411
[2019-11-28 15:08] Train Step 0300/10000, Batch Size = 128, Model type RNN, Examples/Sec = 18306.37, Accuracy = 0.94, Loss = 0.349
[2019-11-28 15:08] Train Step 0310/10000, Batch Size = 128, Model type RNN, Examples/Sec = 17720.27, Accuracy = 0.91, Loss = 0.321
[2019-11-28 15:08] Train Step 0320/10000, Batch Size = 128, Model type RNN, Examples/Sec = 16493.22, Accuracy = 0.86, Loss = 0.373
[2019-11-28 15:08] Train Step 0330/10000, Batch Size = 128, Model type RNN, Examples/Sec = 17256.63, Accuracy = 0.84, Loss = 0.365
[2019-11-28 15:08] Train Step 0340/10000, Batch Size = 128, Model type RNN, Examples/Sec = 16301.91, Accuracy = 0.96, Loss = 0.322
[2019-11-28 15:08] Train Step 0350/10000, Batch Size = 128, Model type RNN, Examples/Sec = 18959.31, Accuracy = 0.83, Loss = 0.309
[2019-11-28 15:08] Train Step 0360/10000, Batch Size = 128, Model type RNN, Examples/Sec = 16939.73, Accuracy = 0.93, Loss = 0.276
[2019-11-28 15:08] Train Step 0370/10000, Batch Size = 128, Model type RNN, Examples/Sec = 15556.52, Accuracy = 0.95, Loss = 0.317
[2019-11-28 15:08] Train Step 0380/10000, Batch Size = 128, Model type RNN, Examples/Sec = 16291.03, Accuracy = 0.87, Loss = 0.304
[2019-11-28 15:08] Train Step 0390/10000, Batch Size = 128, Model type RNN, Examples/Sec = 15537.16, Accuracy = 0.75, Loss = 0.366
[2019-11-28 15:08] Train Step 0400/10000, Batch Size = 128, Model type RNN, Examples/Sec = 15876.24, Accuracy = 0.99, Loss = 0.232
[2019-11-28 15:08] Train Step 0410/10000, Batch Size = 128, Model type RNN, Examples/Sec = 15835.50, Accuracy = 0.92, Loss = 0.253
[2019-11-28 15:08] Train Step 0420/10000, Batch Size = 128, Model type RNN, Examples/Sec = 16199.11, Accuracy = 0.88, Loss = 0.270
[2019-11-28 15:08] Train Step 0430/10000, Batch Size = 128, Model type RNN, Examples/Sec = 15561.48, Accuracy = 0.95, Loss = 0.231
[2019-11-28 15:08] Train Step 0440/10000, Batch Size = 128, Model type RNN, Examples/Sec = 16425.10, Accuracy = 0.97, Loss = 0.222
[2019-11-28 15:08] Train Step 0450/10000, Batch Size = 128, Model type RNN, Examples/Sec = 16815.58, Accuracy = 0.88, Loss = 0.259
[2019-11-28 15:08] Train Step 0460/10000, Batch Size = 128, Model type RNN, Examples/Sec = 15590.40, Accuracy = 0.98, Loss = 0.237
[2019-11-28 15:08] Train Step 0470/10000, Batch Size = 128, Model type RNN, Examples/Sec = 16813.47, Accuracy = 0.95, Loss = 0.236
[2019-11-28 15:08] Train Step 0480/10000, Batch Size = 128, Model type RNN, Examples/Sec = 15918.61, Accuracy = 0.88, Loss = 0.236
[2019-11-28 15:08] Train Step 0490/10000, Batch Size = 128, Model type RNN, Examples/Sec = 16340.12, Accuracy = 0.96, Loss = 0.217
[2019-11-28 15:08] Train Step 0500/10000, Batch Size = 128, Model type RNN, Examples/Sec = 17071.16, Accuracy = 0.91, Loss = 0.191
[2019-11-28 15:08] Train Step 0510/10000, Batch Size = 128, Model type RNN, Examples/Sec = 16516.56, Accuracy = 0.98, Loss = 0.165
