Initialize dataset with 532673 characters, 55 unique.
train.py:81: UserWarning: torch.nn.utils.clip_grad_norm is now deprecated in favor of torch.nn.utils.clip_grad_norm_.
  torch.nn.utils.clip_grad_norm(model.parameters(), max_norm=config.max_norm)
[2019-11-29 23:28] Train Step 0000/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 804.79, Accuracy = 0.02, Loss = 4.032
[2019-11-29 23:28] Train Step 0075/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6815.50, Accuracy = 0.19, Loss = 2.915
[2019-11-29 23:28] Train Step 0080/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6744.95, Accuracy = 0.20, Loss = 2.860
[2019-11-29 23:28] Train Step 0085/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6821.22, Accuracy = 0.19, Loss = 2.893
[2019-11-29 23:28] Train Step 0090/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6797.21, Accuracy = 0.20, Loss = 2.909
[2019-11-29 23:28] Train Step 0095/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6841.73, Accuracy = 0.20, Loss = 2.900
[2019-11-29 23:28] Train Step 0100/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6800.83, Accuracy = 0.19, Loss = 2.876
GENERATED SENTENCE at step 100 ------- m                                                 

[2019-11-29 23:28] Train Step 0105/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6844.53, Accuracy = 0.19, Loss = 2.947
[2019-11-29 23:28] Train Step 0110/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6803.59, Accuracy = 0.20, Loss = 2.863
[2019-11-29 23:28] Train Step 0115/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6789.82, Accuracy = 0.19, Loss = 2.866
[2019-11-29 23:28] Train Step 0120/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6765.52, Accuracy = 0.20, Loss = 2.924
[2019-11-29 23:28] Train Step 0125/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6785.53, Accuracy = 0.20, Loss = 2.823
[2019-11-29 23:28] Train Step 0130/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6817.41, Accuracy = 0.20, Loss = 2.826
[2019-11-29 23:28] Train Step 0135/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6813.95, Accuracy = 0.19, Loss = 2.776
[2019-11-29 23:28] Train Step 0140/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6844.35, Accuracy = 0.22, Loss = 2.801
[2019-11-29 23:28] Train Step 0145/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6823.99, Accuracy = 0.22, Loss = 2.728
[2019-11-29 23:28] Train Step 0150/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6897.29, Accuracy = 0.26, Loss = 2.623
[2019-11-29 23:28] Train Step 0155/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6877.85, Accuracy = 0.23, Loss = 2.651
[2019-11-29 23:28] Train Step 0160/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6843.65, Accuracy = 0.26, Loss = 2.593
[2019-11-29 23:28] Train Step 0165/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6793.43, Accuracy = 0.26, Loss = 2.560
[2019-11-29 23:28] Train Step 0170/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6798.42, Accuracy = 0.25, Loss = 2.600
[2019-11-29 23:28] Train Step 0175/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6813.95, Accuracy = 0.31, Loss = 2.396
[2019-11-29 23:28] Train Step 0180/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6773.88, Accuracy = 0.29, Loss = 2.465
[2019-11-29 23:28] Train Step 0185/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6848.19, Accuracy = 0.32, Loss = 2.346
[2019-11-29 23:28] Train Step 0190/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6644.11, Accuracy = 0.34, Loss = 2.333
[2019-11-29 23:28] Train Step 0195/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6860.44, Accuracy = 0.32, Loss = 2.330
[2019-11-29 23:28] Train Step 0200/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6880.31, Accuracy = 0.34, Loss = 2.314
GENERATED SENTENCE at step 200 ------- % the the the the the the the the the the the the 

[2019-11-29 23:28] Train Step 0205/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6821.22, Accuracy = 0.38, Loss = 2.236
[2019-11-29 23:28] Train Step 0210/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6759.56, Accuracy = 0.35, Loss = 2.280
[2019-11-29 23:28] Train Step 0215/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6801.69, Accuracy = 0.35, Loss = 2.263
[2019-11-29 23:28] Train Step 0220/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6761.77, Accuracy = 0.37, Loss = 2.163
[2019-11-29 23:28] Train Step 0225/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6829.38, Accuracy = 0.39, Loss = 2.139
[2019-11-29 23:28] Train Step 0230/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6808.42, Accuracy = 0.35, Loss = 2.230
[2019-11-29 23:28] Train Step 0235/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6861.15, Accuracy = 0.40, Loss = 2.108
[2019-11-29 23:28] Train Step 0240/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6848.02, Accuracy = 0.37, Loss = 2.189
[2019-11-29 23:28] Train Step 0245/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6867.46, Accuracy = 0.39, Loss = 2.131
[2019-11-29 23:28] Train Step 0250/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6901.36, Accuracy = 0.36, Loss = 2.220
[2019-11-29 23:28] Train Step 0255/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6821.05, Accuracy = 0.37, Loss = 2.145
[2019-11-29 23:28] Train Step 0260/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6831.64, Accuracy = 0.37, Loss = 2.144
[2019-11-29 23:28] Train Step 0265/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6805.14, Accuracy = 0.38, Loss = 2.094
[2019-11-29 23:28] Train Step 0270/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6801.00, Accuracy = 0.40, Loss = 2.114
[2019-11-29 23:28] Train Step 0275/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6846.62, Accuracy = 0.42, Loss = 2.013
[2019-11-29 23:28] Train Step 0280/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6814.81, Accuracy = 0.41, Loss = 2.080
[2019-11-29 23:28] Train Step 0285/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6874.50, Accuracy = 0.39, Loss = 2.044
[2019-11-29 23:28] Train Step 0290/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6841.91, Accuracy = 0.41, Loss = 2.026
[2019-11-29 23:28] Train Step 0295/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6872.56, Accuracy = 0.40, Loss = 2.074
[2019-11-29 23:28] Train Step 0300/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6876.44, Accuracy = 0.40, Loss = 2.024
GENERATED SENTENCE at step 300 ------- uther the has the has the has the has the has the 

[2019-11-29 23:28] Train Step 0305/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6758.70, Accuracy = 0.41, Loss = 2.003
[2019-11-29 23:28] Train Step 0310/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6744.61, Accuracy = 0.44, Loss = 1.955
[2019-11-29 23:28] Train Step 0315/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6649.38, Accuracy = 0.43, Loss = 1.921
[2019-11-29 23:28] Train Step 0320/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6728.04, Accuracy = 0.41, Loss = 2.024
[2019-11-29 23:28] Train Step 0325/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6858.52, Accuracy = 0.42, Loss = 2.028
[2019-11-29 23:28] Train Step 0330/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6920.40, Accuracy = 0.45, Loss = 1.883
[2019-11-29 23:28] Train Step 0335/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6858.52, Accuracy = 0.43, Loss = 1.936
[2019-11-29 23:28] Train Step 0340/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6844.70, Accuracy = 0.44, Loss = 1.925
[2019-11-29 23:28] Train Step 0345/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6783.81, Accuracy = 0.43, Loss = 1.975
[2019-11-29 23:28] Train Step 0350/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6821.39, Accuracy = 0.44, Loss = 1.922
[2019-11-29 23:28] Train Step 0355/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6757.51, Accuracy = 0.43, Loss = 1.895
[2019-11-29 23:28] Train Step 0360/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6847.14, Accuracy = 0.43, Loss = 1.976
[2019-11-29 23:28] Train Step 0365/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6859.22, Accuracy = 0.43, Loss = 1.925
[2019-11-29 23:28] Train Step 0370/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6871.68, Accuracy = 0.43, Loss = 1.934
[2019-11-29 23:28] Train Step 0375/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6866.06, Accuracy = 0.45, Loss = 1.853
[2019-11-29 23:28] Train Step 0380/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6815.50, Accuracy = 0.44, Loss = 1.877
[2019-11-29 23:28] Train Step 0385/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6835.64, Accuracy = 0.45, Loss = 1.898
[2019-11-29 23:28] Train Step 0390/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6779.53, Accuracy = 0.45, Loss = 1.852
[2019-11-29 23:28] Train Step 0395/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6812.22, Accuracy = 0.44, Loss = 1.895
[2019-11-29 23:28] Train Step 0400/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6820.87, Accuracy = 0.46, Loss = 1.846
GENERATED SENTENCE at step 400 ------- 4 and the was the was the was the was the was the 

[2019-11-29 23:28] Train Step 0405/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6801.86, Accuracy = 0.46, Loss = 1.796
[2019-11-29 23:28] Train Step 0410/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6770.30, Accuracy = 0.42, Loss = 1.904
[2019-11-29 23:28] Train Step 0415/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6836.16, Accuracy = 0.47, Loss = 1.836
[2019-11-29 23:28] Train Step 0420/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6835.64, Accuracy = 0.47, Loss = 1.824
[2019-11-29 23:28] Train Step 0425/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6834.77, Accuracy = 0.44, Loss = 1.896
[2019-11-29 23:28] Train Step 0430/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6782.78, Accuracy = 0.47, Loss = 1.808
[2019-11-29 23:28] Train Step 0435/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6776.96, Accuracy = 0.47, Loss = 1.807
[2019-11-29 23:28] Train Step 0440/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6769.27, Accuracy = 0.47, Loss = 1.788
[2019-11-29 23:28] Train Step 0445/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6771.83, Accuracy = 0.46, Loss = 1.823
[2019-11-29 23:28] Train Step 0450/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6834.77, Accuracy = 0.45, Loss = 1.854
[2019-11-29 23:28] Train Step 0455/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6811.87, Accuracy = 0.47, Loss = 1.806
[2019-11-29 23:28] Train Step 0460/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6869.57, Accuracy = 0.46, Loss = 1.799
[2019-11-29 23:28] Train Step 0465/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6885.08, Accuracy = 0.49, Loss = 1.746
[2019-11-29 23:28] Train Step 0470/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6931.30, Accuracy = 0.45, Loss = 1.810
[2019-11-29 23:28] Train Step 0475/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6848.72, Accuracy = 0.49, Loss = 1.773
[2019-11-29 23:28] Train Step 0480/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6782.27, Accuracy = 0.46, Loss = 1.783
[2019-11-29 23:28] Train Step 0485/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6790.51, Accuracy = 0.47, Loss = 1.768
[2019-11-29 23:28] Train Step 0490/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6738.51, Accuracy = 0.48, Loss = 1.755
[2019-11-29 23:28] Train Step 0495/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6838.77, Accuracy = 0.47, Loss = 1.788
[2019-11-29 23:28] Train Step 0500/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6862.20, Accuracy = 0.47, Loss = 1.791
GENERATED SENTENCE at step 500 ------- x and the was and the was and the was and the was 

[2019-11-29 23:28] Train Step 0505/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6968.19, Accuracy = 0.50, Loss = 1.691
[2019-11-29 23:28] Train Step 0510/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6813.08, Accuracy = 0.48, Loss = 1.760
[2019-11-29 23:28] Train Step 0515/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6956.81, Accuracy = 0.48, Loss = 1.781
[2019-11-29 23:28] Train Step 0520/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6921.29, Accuracy = 0.48, Loss = 1.763
[2019-11-29 23:28] Train Step 0525/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6993.06, Accuracy = 0.48, Loss = 1.719
[2019-11-29 23:28] Train Step 0530/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 7012.05, Accuracy = 0.47, Loss = 1.772
[2019-11-29 23:28] Train Step 0535/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 7005.65, Accuracy = 0.49, Loss = 1.740
[2019-11-29 23:28] Train Step 0540/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 7039.08, Accuracy = 0.48, Loss = 1.764
[2019-11-29 23:28] Train Step 0545/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6994.70, Accuracy = 0.48, Loss = 1.800
[2019-11-29 23:28] Train Step 0550/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 7051.84, Accuracy = 0.47, Loss = 1.789
[2019-11-29 23:28] Train Step 0555/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 7018.29, Accuracy = 0.47, Loss = 1.749
[2019-11-29 23:28] Train Step 0560/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 7084.41, Accuracy = 0.48, Loss = 1.753
[2019-11-29 23:28] Train Step 0565/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 7005.65, Accuracy = 0.46, Loss = 1.764
[2019-11-29 23:28] Train Step 0570/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 7018.10, Accuracy = 0.49, Loss = 1.712
[2019-11-29 23:28] Train Step 0575/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6982.51, Accuracy = 0.49, Loss = 1.747
[2019-11-29 23:28] Train Step 0580/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6973.44, Accuracy = 0.51, Loss = 1.681
[2019-11-29 23:28] Train Step 0585/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6984.50, Accuracy = 0.47, Loss = 1.749
[2019-11-29 23:28] Train Step 0590/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6965.47, Accuracy = 0.48, Loss = 1.729
[2019-11-29 23:28] Train Step 0595/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 7025.45, Accuracy = 0.48, Loss = 1.700
[2019-11-29 23:28] Train Step 0600/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 7008.03, Accuracy = 0.49, Loss = 1.749
GENERATED SENTENCE at step 600 ------- led the stord the stord the stord the stord the st

[2019-11-29 23:28] Train Step 0605/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6862.02, Accuracy = 0.49, Loss = 1.728
[2019-11-29 23:28] Train Step 0610/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6841.04, Accuracy = 0.50, Loss = 1.636
[2019-11-29 23:28] Train Step 0615/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6809.11, Accuracy = 0.49, Loss = 1.691
[2019-11-29 23:28] Train Step 0620/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6775.08, Accuracy = 0.51, Loss = 1.626
[2019-11-29 23:28] Train Step 0625/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6777.99, Accuracy = 0.51, Loss = 1.648
[2019-11-29 23:28] Train Step 0630/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6788.44, Accuracy = 0.49, Loss = 1.746
[2019-11-29 23:28] Train Step 0635/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6809.97, Accuracy = 0.50, Loss = 1.688
[2019-11-29 23:28] Train Step 0640/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6841.39, Accuracy = 0.53, Loss = 1.578
[2019-11-29 23:28] Train Step 0645/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6855.19, Accuracy = 0.51, Loss = 1.668
[2019-11-29 23:28] Train Step 0650/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6878.02, Accuracy = 0.50, Loss = 1.641
[2019-11-29 23:28] Train Step 0655/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6821.91, Accuracy = 0.50, Loss = 1.649
[2019-11-29 23:28] Train Step 0660/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6895.51, Accuracy = 0.52, Loss = 1.635
[2019-11-29 23:28] Train Step 0665/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6811.35, Accuracy = 0.50, Loss = 1.640
[2019-11-29 23:28] Train Step 0670/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6802.72, Accuracy = 0.51, Loss = 1.634
[2019-11-29 23:28] Train Step 0675/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6817.41, Accuracy = 0.51, Loss = 1.661
[2019-11-29 23:28] Train Step 0680/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6778.33, Accuracy = 0.50, Loss = 1.649
[2019-11-29 23:28] Train Step 0685/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6827.47, Accuracy = 0.50, Loss = 1.661
[2019-11-29 23:28] Train Step 0690/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6811.70, Accuracy = 0.51, Loss = 1.614
[2019-11-29 23:28] Train Step 0695/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6853.09, Accuracy = 0.50, Loss = 1.655
[2019-11-29 23:28] Train Step 0700/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6878.90, Accuracy = 0.51, Loss = 1.623
GENERATED SENTENCE at step 700 ------- f the could to her was and said, and said the coul

[2019-11-29 23:28] Train Step 0705/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6827.47, Accuracy = 0.52, Loss = 1.607
[2019-11-29 23:28] Train Step 0710/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6743.42, Accuracy = 0.53, Loss = 1.561
[2019-11-29 23:28] Train Step 0715/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6766.20, Accuracy = 0.52, Loss = 1.638
[2019-11-29 23:28] Train Step 0720/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6755.64, Accuracy = 0.49, Loss = 1.668
[2019-11-29 23:28] Train Step 0725/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6780.90, Accuracy = 0.51, Loss = 1.661
[2019-11-29 23:28] Train Step 0730/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6852.04, Accuracy = 0.52, Loss = 1.602
[2019-11-29 23:28] Train Step 0735/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6861.85, Accuracy = 0.53, Loss = 1.554
[2019-11-29 23:28] Train Step 0740/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6874.68, Accuracy = 0.54, Loss = 1.516
[2019-11-29 23:28] Train Step 0745/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6853.61, Accuracy = 0.53, Loss = 1.589
[2019-11-29 23:28] Train Step 0750/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6905.98, Accuracy = 0.52, Loss = 1.587
[2019-11-29 23:28] Train Step 0755/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6774.40, Accuracy = 0.51, Loss = 1.615
[2019-11-29 23:28] Train Step 0760/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6826.77, Accuracy = 0.51, Loss = 1.621
[2019-11-29 23:28] Train Step 0765/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6823.99, Accuracy = 0.54, Loss = 1.516
[2019-11-29 23:28] Train Step 0770/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6804.28, Accuracy = 0.53, Loss = 1.626
[2019-11-29 23:28] Train Step 0775/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6809.28, Accuracy = 0.54, Loss = 1.543
[2019-11-29 23:28] Train Step 0780/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6814.47, Accuracy = 0.51, Loss = 1.602
[2019-11-29 23:28] Train Step 0785/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6868.52, Accuracy = 0.51, Loss = 1.679
[2019-11-29 23:28] Train Step 0790/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6859.57, Accuracy = 0.53, Loss = 1.555
[2019-11-29 23:28] Train Step 0795/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6889.67, Accuracy = 0.54, Loss = 1.555
[2019-11-29 23:28] Train Step 0800/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6883.49, Accuracy = 0.54, Loss = 1.535
GENERATED SENTENCE at step 800 ------- 9 with the wind the streat with the wind the strea

[2019-11-29 23:28] Train Step 0805/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6801.34, Accuracy = 0.54, Loss = 1.538
[2019-11-29 23:28] Train Step 0810/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6794.63, Accuracy = 0.51, Loss = 1.580
[2019-11-29 23:28] Train Step 0815/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6807.73, Accuracy = 0.54, Loss = 1.551
[2019-11-29 23:28] Train Step 0820/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6788.44, Accuracy = 0.54, Loss = 1.526
[2019-11-29 23:28] Train Step 0825/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6820.53, Accuracy = 0.52, Loss = 1.584
[2019-11-29 23:28] Train Step 0830/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6662.75, Accuracy = 0.55, Loss = 1.512
[2019-11-29 23:28] Train Step 0835/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6811.35, Accuracy = 0.53, Loss = 1.529
[2019-11-29 23:28] Train Step 0840/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6840.34, Accuracy = 0.55, Loss = 1.498
[2019-11-29 23:28] Train Step 0845/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6827.29, Accuracy = 0.54, Loss = 1.517
[2019-11-29 23:28] Train Step 0850/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6886.49, Accuracy = 0.52, Loss = 1.620
[2019-11-29 23:28] Train Step 0855/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6855.36, Accuracy = 0.53, Loss = 1.598
[2019-11-29 23:28] Train Step 0860/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6867.29, Accuracy = 0.55, Loss = 1.542
[2019-11-29 23:28] Train Step 0865/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6823.13, Accuracy = 0.52, Loss = 1.574
[2019-11-29 23:28] Train Step 0870/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6818.62, Accuracy = 0.53, Loss = 1.555
[2019-11-29 23:28] Train Step 0875/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6816.54, Accuracy = 0.52, Loss = 1.576
[2019-11-29 23:28] Train Step 0880/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6780.73, Accuracy = 0.55, Loss = 1.496
[2019-11-29 23:28] Train Step 0885/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6357.87, Accuracy = 0.53, Loss = 1.557
[2019-11-29 23:28] Train Step 0890/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6804.10, Accuracy = 0.54, Loss = 1.520
[2019-11-29 23:28] Train Step 0895/1000000, Epoch 0 Batch Size = 64, Examples/Sec = 6857.64, Accuracy = 0.54, Loss = 1.581
