dnn_hidden_units : 100
learning_rate : 0.002
max_steps : 1500
batch_size : 200
eval_freq : 1
data_dir : ./cifar10/cifar-10-batches-py
neg_slope : 0.02
plot : 1
n_inputs 3072, n_classes 10
[DEBUG] start training
iter 0, avg loss train 2.3026090892140365, test loss 2.302488196494763, train acc 0.065, test acc 0.1601
iter 37, avg loss train 2.1723564638282107, test loss 1.998765303611139, train acc 0.32, test acc 0.2595
iter 38, avg loss train 2.1679099362062635, test loss 1.9814982562244252, train acc 0.28, test acc 0.2789
iter 39, avg loss train 2.1634209180591717, test loss 1.9852898996855246, train acc 0.27, test acc 0.2605
iter 40, avg loss train 2.157726815495725, test loss 1.9887353181217808, train acc 0.285, test acc 0.2563
iter 41, avg loss train 2.153916147953815, test loss 1.9636376843306196, train acc 0.275, test acc 0.2867
iter 42, avg loss train 2.149613189040119, test loss 1.9596994684480615, train acc 0.33, test acc 0.2901
iter 43, avg loss train 2.1455049262150796, test loss 1.9531374100739198, train acc 0.305, test acc 0.2841
iter 44, avg loss train 2.1428966819393813, test loss 1.948899279923461, train acc 0.315, test acc 0.2802
iter 45, avg loss train 2.1384170397436324, test loss 1.937439728053712, train acc 0.245, test acc 0.2857
iter 46, avg loss train 2.1337531383825943, test loss 1.9358411723028017, train acc 0.27, test acc 0.2864
iter 47, avg loss train 2.13176980477491, test loss 1.943760603938264, train acc 0.235, test acc 0.2961
iter 48, avg loss train 2.127736946879927, test loss 1.9313765080814032, train acc 0.315, test acc 0.2972
iter 49, avg loss train 2.123137172284498, test loss 1.9248547923853567, train acc 0.34, test acc 0.2815
iter 50, avg loss train 2.1214448632147027, test loss 1.9225545392445724, train acc 0.255, test acc 0.2968
iter 51, avg loss train 2.1179920425493566, test loss 1.9279296819838314, train acc 0.365, test acc 0.2945
iter 52, avg loss train 2.1169183899230726, test loss 1.9200074522436796, train acc 0.24, test acc 0.3
iter 53, avg loss train 2.1119071589303338, test loss 1.9033491387877703, train acc 0.375, test acc 0.3063
iter 54, avg loss train 2.1078085271361138, test loss 1.8958443504279505, train acc 0.29, test acc 0.3148
iter 55, avg loss train 2.10391253842457, test loss 1.894877852605425, train acc 0.29, test acc 0.303
iter 56, avg loss train 2.100255985720445, test loss 1.8893700235990927, train acc 0.25, test acc 0.3067
iter 57, avg loss train 2.096434936393882, test loss 1.8885358558436212, train acc 0.305, test acc 0.314
iter 58, avg loss train 2.092452898469878, test loss 1.880133463671436, train acc 0.365, test acc 0.3136
iter 59, avg loss train 2.089673850032011, test loss 1.8670455719875185, train acc 0.295, test acc 0.323
iter 60, avg loss train 2.0857317377183033, test loss 1.867549707687395, train acc 0.285, test acc 0.3226
iter 61, avg loss train 2.082644014020155, test loss 1.8798764671309651, train acc 0.335, test acc 0.3188
iter 62, avg loss train 2.0796853943838403, test loss 1.8679705146687822, train acc 0.29, test acc 0.3282
iter 63, avg loss train 2.076506082509557, test loss 1.8682861998596891, train acc 0.31, test acc 0.3213
iter 64, avg loss train 2.0724008159181473, test loss 1.8753141386787207, train acc 0.31, test acc 0.3184
iter 65, avg loss train 2.0693932107022848, test loss 1.8674929818853878, train acc 0.32, test acc 0.3106
iter 66, avg loss train 2.067540215140134, test loss 1.8664092399159988, train acc 0.245, test acc 0.3279
iter 67, avg loss train 2.0650809100020604, test loss 1.8625759437599845, train acc 0.34, test acc 0.3246
iter 68, avg loss train 2.062056850535826, test loss 1.8544812659894288, train acc 0.365, test acc 0.3289
iter 69, avg loss train 2.058830542209743, test loss 1.8428496049386807, train acc 0.32, test acc 0.3403
iter 70, avg loss train 2.055814113938833, test loss 1.844646910488778, train acc 0.32, test acc 0.3407
iter 71, avg loss train 2.0541797677838973, test loss 1.8431734912943976, train acc 0.335, test acc 0.3359
iter 72, avg loss train 2.0509911766734374, test loss 1.838654070270609, train acc 0.37, test acc 0.3335
iter 73, avg loss train 2.0482074461805393, test loss 1.8430033007229485, train acc 0.39, test acc 0.3301
iter 74, avg loss train 2.045566438532334, test loss 1.8621842679942493, train acc 0.34, test acc 0.3302
iter 75, avg loss train 2.044615744390118, test loss 1.8364396027533356, train acc 0.31, test acc 0.3418
iter 76, avg loss train 2.042081259337666, test loss 1.8347191556858022, train acc 0.34, test acc 0.3343
iter 77, avg loss train 2.0404956955236146, test loss 1.855839622275934, train acc 0.345, test acc 0.3215
iter 78, avg loss train 2.0381238216745508, test loss 1.8290419089259857, train acc 0.36, test acc 0.3294
iter 79, avg loss train 2.037048155571738, test loss 1.8191323882263084, train acc 0.26, test acc 0.3363
iter 80, avg loss train 2.034297731293113, test loss 1.8286792664254499, train acc 0.345, test acc 0.337
iter 81, avg loss train 2.0326274575506265, test loss 1.8227600293224997, train acc 0.305, test acc 0.333
iter 82, avg loss train 2.0301475227794783, test loss 1.8127410934932038, train acc 0.3, test acc 0.3528
iter 83, avg loss train 2.0282852927273494, test loss 1.8121782441793604, train acc 0.305, test acc 0.3517
iter 84, avg loss train 2.0257049813917147, test loss 1.8046726418764887, train acc 0.325, test acc 0.349
iter 85, avg loss train 2.024587356639243, test loss 1.8160938056920328, train acc 0.29, test acc 0.349
iter 86, avg loss train 2.0217992755003995, test loss 1.7984917077838192, train acc 0.375, test acc 0.3509
iter 87, avg loss train 2.0193953447153006, test loss 1.7974681957612872, train acc 0.3, test acc 0.3559
iter 88, avg loss train 2.0174657017995927, test loss 1.8191225531584463, train acc 0.36, test acc 0.3294
iter 89, avg loss train 2.0152530739600625, test loss 1.7838157680128564, train acc 0.355, test acc 0.3625
iter 90, avg loss train 2.012900456501862, test loss 1.7829993508561297, train acc 0.38, test acc 0.3599
iter 91, avg loss train 2.010300067789285, test loss 1.785668648588066, train acc 0.365, test acc 0.3562
iter 92, avg loss train 2.008442671354989, test loss 1.7811655560159851, train acc 0.37, test acc 0.3633
iter 93, avg loss train 2.0064518458177254, test loss 1.7850113111302652, train acc 0.345, test acc 0.3568
iter 94, avg loss train 2.004247375351986, test loss 1.7869378400006262, train acc 0.4, test acc 0.3506
iter 95, avg loss train 2.001428931182525, test loss 1.7698673812567696, train acc 0.365, test acc 0.3678
iter 96, avg loss train 1.9996235277290308, test loss 1.7715894788728044, train acc 0.31, test acc 0.3593
iter 97, avg loss train 1.9969937075965554, test loss 1.7866764074166095, train acc 0.355, test acc 0.3535
iter 98, avg loss train 1.9949606979838252, test loss 1.775844936029007, train acc 0.35, test acc 0.3623
iter 99, avg loss train 1.9926446091420664, test loss 1.7703855618695425, train acc 0.355, test acc 0.3632
iter 100, avg loss train 1.9902010601054114, test loss 1.7578111076626193, train acc 0.345, test acc 0.371
iter 101, avg loss train 1.988012410507354, test loss 1.7836451807943137, train acc 0.4, test acc 0.3488
iter 102, avg loss train 1.9866493554769886, test loss 1.787632168294445, train acc 0.33, test acc 0.3448
iter 103, avg loss train 1.9846489416615538, test loss 1.7715932132973233, train acc 0.35, test acc 0.3653
iter 104, avg loss train 1.9818193702170683, test loss 1.7624617393656656, train acc 0.41, test acc 0.3635
iter 105, avg loss train 1.9798663727460268, test loss 1.753683659503107, train acc 0.39, test acc 0.3684
iter 106, avg loss train 1.9777759878795689, test loss 1.7498724130574193, train acc 0.39, test acc 0.3697
iter 107, avg loss train 1.975127319783683, test loss 1.7477602609862048, train acc 0.405, test acc 0.3685
iter 108, avg loss train 1.9725253138437042, test loss 1.7419406498090284, train acc 0.395, test acc 0.379
iter 109, avg loss train 1.9714676050386613, test loss 1.737897914059329, train acc 0.355, test acc 0.3799
iter 110, avg loss train 1.969186357708838, test loss 1.7546759160845304, train acc 0.39, test acc 0.3719
iter 111, avg loss train 1.967733006643113, test loss 1.7588063213661496, train acc 0.34, test acc 0.3627
iter 112, avg loss train 1.9657925290554865, test loss 1.7897368018941255, train acc 0.365, test acc 0.361
iter 113, avg loss train 1.9639668409956077, test loss 1.7524687716855847, train acc 0.415, test acc 0.3683
iter 114, avg loss train 1.9630740939191125, test loss 1.7642661092510723, train acc 0.335, test acc 0.3625
iter 115, avg loss train 1.9610282595059148, test loss 1.7323846569801309, train acc 0.37, test acc 0.3755
iter 116, avg loss train 1.9582481987066305, test loss 1.744476508506055, train acc 0.395, test acc 0.3764
iter 117, avg loss train 1.9563205070853302, test loss 1.7532381781982898, train acc 0.39, test acc 0.37
iter 118, avg loss train 1.9542729818927669, test loss 1.778930012120858, train acc 0.375, test acc 0.37
iter 119, avg loss train 1.9522980049700687, test loss 1.7503050798107063, train acc 0.405, test acc 0.3733
iter 120, avg loss train 1.9493306956181728, test loss 1.7443380012958563, train acc 0.385, test acc 0.3744
iter 121, avg loss train 1.9477366076254758, test loss 1.7348267989601256, train acc 0.355, test acc 0.3783
iter 122, avg loss train 1.9449747852045853, test loss 1.7346111693822808, train acc 0.43, test acc 0.3761
iter 123, avg loss train 1.943040096444503, test loss 1.7319764874399257, train acc 0.355, test acc 0.3748
iter 124, avg loss train 1.9417308987158661, test loss 1.7312365144992345, train acc 0.395, test acc 0.3782
iter 125, avg loss train 1.9394636721484204, test loss 1.7446376971909285, train acc 0.43, test acc 0.3692
iter 126, avg loss train 1.9372426337915072, test loss 1.7472576217798095, train acc 0.4, test acc 0.3752
iter 127, avg loss train 1.9354641929185394, test loss 1.724970390515192, train acc 0.385, test acc 0.3858
iter 128, avg loss train 1.9346667921179674, test loss 1.717992334382385, train acc 0.33, test acc 0.3882
iter 129, avg loss train 1.9323732767638775, test loss 1.7169861761500018, train acc 0.41, test acc 0.3844
iter 130, avg loss train 1.929127593505824, test loss 1.722731244085002, train acc 0.445, test acc 0.3788
iter 131, avg loss train 1.927735328049057, test loss 1.7322080544351015, train acc 0.36, test acc 0.3716
iter 132, avg loss train 1.9261815633844224, test loss 1.7025787330457276, train acc 0.355, test acc 0.3882
iter 133, avg loss train 1.9239231558189838, test loss 1.7302851807099957, train acc 0.425, test acc 0.3725
iter 134, avg loss train 1.922384113177983, test loss 1.790977181640291, train acc 0.365, test acc 0.3453
iter 135, avg loss train 1.9213452942558207, test loss 1.6964567966605413, train acc 0.365, test acc 0.3876
iter 136, avg loss train 1.9200843186853487, test loss 1.7220556520061312, train acc 0.405, test acc 0.3899
iter 137, avg loss train 1.9190845729657966, test loss 1.7129942969505405, train acc 0.345, test acc 0.3821
iter 138, avg loss train 1.9176869336580447, test loss 1.7615793871327394, train acc 0.37, test acc 0.3694
iter 139, avg loss train 1.9175866510635469, test loss 1.8126181348144654, train acc 0.33, test acc 0.3488
iter 140, avg loss train 1.9177512467975664, test loss 1.7539209962783844, train acc 0.335, test acc 0.3542
iter 141, avg loss train 1.916231757072855, test loss 1.7263928982242414, train acc 0.37, test acc 0.3736
iter 142, avg loss train 1.915006481511934, test loss 1.7146459947521475, train acc 0.345, test acc 0.3843
iter 143, avg loss train 1.913641185329198, test loss 1.7090935807979484, train acc 0.33, test acc 0.3831
iter 144, avg loss train 1.9113414951027243, test loss 1.7225788520063983, train acc 0.48, test acc 0.3781
iter 145, avg loss train 1.9105772885781283, test loss 1.7467996404863555, train acc 0.385, test acc 0.36
iter 146, avg loss train 1.9096009917129286, test loss 1.707396134567482, train acc 0.335, test acc 0.3926
iter 147, avg loss train 1.9079978728697846, test loss 1.7141580358274187, train acc 0.365, test acc 0.3892
iter 148, avg loss train 1.9071356601564924, test loss 1.7006412586027997, train acc 0.37, test acc 0.3879
iter 149, avg loss train 1.9056236007503726, test loss 1.7127866460298777, train acc 0.37, test acc 0.3814
iter 150, avg loss train 1.9042878166674675, test loss 1.7258551452430597, train acc 0.34, test acc 0.3705
iter 151, avg loss train 1.9027676868045784, test loss 1.7047349606941458, train acc 0.425, test acc 0.3874
iter 152, avg loss train 1.9016967734358556, test loss 1.7029093798887995, train acc 0.375, test acc 0.3882
iter 153, avg loss train 1.9009712304993547, test loss 1.7841027899245938, train acc 0.345, test acc 0.366
iter 154, avg loss train 1.9001854087242955, test loss 1.7492134246202735, train acc 0.35, test acc 0.3844
iter 155, avg loss train 1.8991987127181642, test loss 1.7151288686264634, train acc 0.42, test acc 0.3798
iter 156, avg loss train 1.8981356357159087, test loss 1.7392565173008316, train acc 0.415, test acc 0.3779
iter 157, avg loss train 1.8974262528000174, test loss 1.7464574127298387, train acc 0.37, test acc 0.3637
iter 158, avg loss train 1.8964222141536347, test loss 1.7125661596649577, train acc 0.375, test acc 0.3884
iter 159, avg loss train 1.895790561026935, test loss 1.688109110571539, train acc 0.38, test acc 0.3912
iter 160, avg loss train 1.8944529692772956, test loss 1.7016925837652401, train acc 0.425, test acc 0.3864
iter 161, avg loss train 1.893081544941936, test loss 1.7397344161905803, train acc 0.415, test acc 0.3804
iter 162, avg loss train 1.891786166945142, test loss 1.6942783441139033, train acc 0.405, test acc 0.3952
iter 163, avg loss train 1.891124286029245, test loss 1.6992935952135824, train acc 0.38, test acc 0.3928
iter 164, avg loss train 1.8904758641367903, test loss 1.6986303896966042, train acc 0.36, test acc 0.3892
iter 165, avg loss train 1.8896375319136023, test loss 1.694168749422263, train acc 0.4, test acc 0.3975
iter 166, avg loss train 1.8884714463905083, test loss 1.6782239190668355, train acc 0.375, test acc 0.396
iter 167, avg loss train 1.8881075683115605, test loss 1.6759005501143314, train acc 0.36, test acc 0.4022
iter 168, avg loss train 1.8878758747862856, test loss 1.6717756349397708, train acc 0.345, test acc 0.4074
iter 169, avg loss train 1.886546866853588, test loss 1.6707104845426435, train acc 0.435, test acc 0.4062
iter 170, avg loss train 1.8851896208623724, test loss 1.675872767699706, train acc 0.43, test acc 0.403
iter 171, avg loss train 1.8837828823576597, test loss 1.690069219646934, train acc 0.435, test acc 0.3982
iter 172, avg loss train 1.882965541831939, test loss 1.6807511235596604, train acc 0.41, test acc 0.4019
iter 173, avg loss train 1.8817926533306102, test loss 1.6961802672144974, train acc 0.4, test acc 0.3956
iter 174, avg loss train 1.8807292102241049, test loss 1.6848682306646394, train acc 0.405, test acc 0.3912
iter 175, avg loss train 1.87960095036098, test loss 1.6697536479203559, train acc 0.4, test acc 0.4032
iter 176, avg loss train 1.8783218957216208, test loss 1.6954599712462544, train acc 0.45, test acc 0.397
iter 177, avg loss train 1.8770630031606728, test loss 1.7057393750448817, train acc 0.425, test acc 0.3923
iter 178, avg loss train 1.8767514833364751, test loss 1.6674279199950977, train acc 0.31, test acc 0.4056
iter 179, avg loss train 1.8755680726337198, test loss 1.6687187197362432, train acc 0.425, test acc 0.4035
iter 180, avg loss train 1.8745264662048284, test loss 1.696184664115218, train acc 0.42, test acc 0.3953
iter 181, avg loss train 1.8732984572285603, test loss 1.6806719782819735, train acc 0.49, test acc 0.4017
iter 182, avg loss train 1.8719631259345624, test loss 1.6819357197533524, train acc 0.45, test acc 0.4006
iter 183, avg loss train 1.870763339240262, test loss 1.6787551049786449, train acc 0.39, test acc 0.4031
iter 184, avg loss train 1.8702810985484135, test loss 1.6718725982017462, train acc 0.395, test acc 0.4065
iter 185, avg loss train 1.869176251029602, test loss 1.7344903040589612, train acc 0.395, test acc 0.3681
iter 186, avg loss train 1.8686045034859304, test loss 1.693093640863541, train acc 0.36, test acc 0.3993
iter 187, avg loss train 1.8677710912555425, test loss 1.6769932856325707, train acc 0.375, test acc 0.3994
iter 188, avg loss train 1.8669548930389164, test loss 1.685140414762, train acc 0.4, test acc 0.4019
iter 189, avg loss train 1.8656566665121834, test loss 1.669833296452462, train acc 0.41, test acc 0.4059
iter 190, avg loss train 1.8649317175979248, test loss 1.7218646259132384, train acc 0.385, test acc 0.3718
iter 191, avg loss train 1.8647693795992766, test loss 1.6939833033029907, train acc 0.365, test acc 0.3894
iter 192, avg loss train 1.863603700407033, test loss 1.6687395637003575, train acc 0.405, test acc 0.4092
iter 193, avg loss train 1.862773807790117, test loss 1.6706077558157326, train acc 0.39, test acc 0.4065
iter 194, avg loss train 1.861288405797304, test loss 1.6741810152045757, train acc 0.435, test acc 0.4007
iter 195, avg loss train 1.860149259839639, test loss 1.7316163492607854, train acc 0.39, test acc 0.3883
iter 196, avg loss train 1.859417013894229, test loss 1.6999621074687272, train acc 0.355, test acc 0.3885
iter 197, avg loss train 1.8585932975488977, test loss 1.7188250920921433, train acc 0.38, test acc 0.3956
iter 198, avg loss train 1.8586694130668884, test loss 1.671150058584494, train acc 0.395, test acc 0.4043
iter 199, avg loss train 1.8578712595126072, test loss 1.6802076394267562, train acc 0.41, test acc 0.3967
iter 200, avg loss train 1.8567375030636173, test loss 1.663999626164373, train acc 0.43, test acc 0.4091
iter 201, avg loss train 1.8564652953316971, test loss 1.661282123608965, train acc 0.36, test acc 0.4137
iter 202, avg loss train 1.855438338091917, test loss 1.6536164700030709, train acc 0.445, test acc 0.4079
iter 203, avg loss train 1.8544068243781255, test loss 1.6413058545387922, train acc 0.42, test acc 0.421
iter 204, avg loss train 1.8544314935391963, test loss 1.6525774534078332, train acc 0.38, test acc 0.4185
iter 205, avg loss train 1.8541646534396465, test loss 1.6840183593434428, train acc 0.32, test acc 0.3901
iter 206, avg loss train 1.8538906380007227, test loss 1.727763684599733, train acc 0.345, test acc 0.392
iter 207, avg loss train 1.8535962550809528, test loss 1.675375825157906, train acc 0.355, test acc 0.391
iter 208, avg loss train 1.8523960058558167, test loss 1.646103987708997, train acc 0.43, test acc 0.4126
iter 209, avg loss train 1.851392097912477, test loss 1.6420125852260739, train acc 0.38, test acc 0.4181
iter 210, avg loss train 1.8507983817155493, test loss 1.6461734392060734, train acc 0.395, test acc 0.411
iter 211, avg loss train 1.8495916115817304, test loss 1.6381144344519292, train acc 0.455, test acc 0.4177
iter 212, avg loss train 1.848878521923428, test loss 1.6965497332811723, train acc 0.385, test acc 0.3964
iter 213, avg loss train 1.8487013238000072, test loss 1.7117390542205182, train acc 0.35, test acc 0.3987
iter 214, avg loss train 1.8484147758160097, test loss 1.6639554595159043, train acc 0.365, test acc 0.4105
iter 215, avg loss train 1.8476950457149584, test loss 1.7104144923046436, train acc 0.455, test acc 0.3919
iter 216, avg loss train 1.8472425089336122, test loss 1.6703162796883135, train acc 0.35, test acc 0.4074
iter 217, avg loss train 1.8468530781684909, test loss 1.6539895824786506, train acc 0.405, test acc 0.4116
iter 218, avg loss train 1.8457797338143693, test loss 1.6632298170474493, train acc 0.395, test acc 0.3986
iter 219, avg loss train 1.8448674917252637, test loss 1.6503024872768306, train acc 0.38, test acc 0.4186
iter 220, avg loss train 1.8439063118302503, test loss 1.6583745896746405, train acc 0.41, test acc 0.4034
iter 221, avg loss train 1.8432461413071852, test loss 1.6824670186441697, train acc 0.415, test acc 0.3895
iter 222, avg loss train 1.842769409110627, test loss 1.647522944978937, train acc 0.34, test acc 0.4079
iter 223, avg loss train 1.8419964061869136, test loss 1.6389687529477364, train acc 0.425, test acc 0.4215
iter 224, avg loss train 1.841153761855018, test loss 1.6420393983338053, train acc 0.41, test acc 0.4135
iter 225, avg loss train 1.8398499053302682, test loss 1.6560239324714014, train acc 0.49, test acc 0.4107
iter 226, avg loss train 1.8395443961324935, test loss 1.642816330251721, train acc 0.32, test acc 0.4114
iter 227, avg loss train 1.8384272249413418, test loss 1.6675363789381095, train acc 0.44, test acc 0.3982
iter 228, avg loss train 1.8377312733671287, test loss 1.6572239535803386, train acc 0.385, test acc 0.4054
iter 229, avg loss train 1.837206915336266, test loss 1.6893852108462886, train acc 0.385, test acc 0.3957
iter 230, avg loss train 1.8359893525047166, test loss 1.689257919130773, train acc 0.42, test acc 0.4019
iter 231, avg loss train 1.8355999263927656, test loss 1.6621703659747018, train acc 0.34, test acc 0.4073
iter 232, avg loss train 1.835330763802947, test loss 1.7045583914970794, train acc 0.33, test acc 0.3765
iter 233, avg loss train 1.834578870009008, test loss 1.6235465363924415, train acc 0.44, test acc 0.4183
iter 234, avg loss train 1.8337517372011112, test loss 1.6465968949245664, train acc 0.445, test acc 0.4068
iter 235, avg loss train 1.8330078487582397, test loss 1.6388905336265343, train acc 0.44, test acc 0.4135
iter 236, avg loss train 1.8320889174017874, test loss 1.6427013704227509, train acc 0.46, test acc 0.4137
iter 237, avg loss train 1.831485948409294, test loss 1.6341810035200413, train acc 0.41, test acc 0.4184
iter 238, avg loss train 1.830461433464706, test loss 1.6414328487407075, train acc 0.425, test acc 0.411
iter 239, avg loss train 1.8302059444568792, test loss 1.6305356505392221, train acc 0.39, test acc 0.4197
iter 240, avg loss train 1.8298948611357613, test loss 1.6272359507779337, train acc 0.345, test acc 0.4271
iter 241, avg loss train 1.8291480234741726, test loss 1.6303535764706143, train acc 0.4, test acc 0.4119
iter 242, avg loss train 1.8283468470977793, test loss 1.661531140282857, train acc 0.415, test acc 0.4016
iter 243, avg loss train 1.8278578841154083, test loss 1.6513174296418176, train acc 0.385, test acc 0.4089
iter 244, avg loss train 1.8273500677794186, test loss 1.6760493758743782, train acc 0.395, test acc 0.4123
iter 245, avg loss train 1.8266013773315863, test loss 1.6388681998137737, train acc 0.47, test acc 0.4174
iter 246, avg loss train 1.8255800891304093, test loss 1.6001792075840455, train acc 0.435, test acc 0.4371
iter 247, avg loss train 1.8249159336807397, test loss 1.632361124756828, train acc 0.415, test acc 0.4161
iter 248, avg loss train 1.8240115914261075, test loss 1.6081519063206353, train acc 0.39, test acc 0.4315
iter 249, avg loss train 1.8231703525837912, test loss 1.6119726134618375, train acc 0.42, test acc 0.4295
iter 250, avg loss train 1.8223784552167541, test loss 1.620186665744874, train acc 0.41, test acc 0.4259
iter 251, avg loss train 1.821417795620074, test loss 1.6332629996987253, train acc 0.445, test acc 0.4259
iter 252, avg loss train 1.820966197849205, test loss 1.6264085452719312, train acc 0.39, test acc 0.4193
iter 253, avg loss train 1.8201176763450961, test loss 1.6444876664795265, train acc 0.43, test acc 0.4051
iter 254, avg loss train 1.8194954994604797, test loss 1.665986957316769, train acc 0.42, test acc 0.4143
iter 255, avg loss train 1.8190460097546177, test loss 1.6645881855372688, train acc 0.43, test acc 0.4114
iter 256, avg loss train 1.8183024202063574, test loss 1.6168140833301927, train acc 0.445, test acc 0.4321
iter 257, avg loss train 1.8175452893998914, test loss 1.6135381254156456, train acc 0.42, test acc 0.4248
iter 258, avg loss train 1.8165275855504068, test loss 1.696077167567502, train acc 0.48, test acc 0.4061
iter 259, avg loss train 1.8162377674830208, test loss 1.6776635199903018, train acc 0.415, test acc 0.3937
iter 260, avg loss train 1.8154732096371056, test loss 1.6179627659219193, train acc 0.44, test acc 0.4257
iter 261, avg loss train 1.8142685742537634, test loss 1.6758989681129777, train acc 0.46, test acc 0.4089
iter 262, avg loss train 1.8141234417805834, test loss 1.6508607796728123, train acc 0.375, test acc 0.4173
iter 263, avg loss train 1.8132705302066963, test loss 1.6733105251261802, train acc 0.415, test acc 0.4147
iter 264, avg loss train 1.812716420982885, test loss 1.6210314756921693, train acc 0.395, test acc 0.4196
iter 265, avg loss train 1.8122203590873363, test loss 1.644092528727632, train acc 0.405, test acc 0.4136
iter 266, avg loss train 1.8111350558185952, test loss 1.639275893079449, train acc 0.44, test acc 0.4097
iter 267, avg loss train 1.810725104240112, test loss 1.7343661526509841, train acc 0.355, test acc 0.3918
iter 268, avg loss train 1.8106446036273782, test loss 1.7376912835170315, train acc 0.375, test acc 0.4
iter 269, avg loss train 1.8103483828709397, test loss 1.6875705368219596, train acc 0.39, test acc 0.399
iter 270, avg loss train 1.8099621012532885, test loss 1.6651246146083551, train acc 0.335, test acc 0.4
iter 271, avg loss train 1.809269514267438, test loss 1.6553810069401613, train acc 0.37, test acc 0.4092
iter 272, avg loss train 1.8085721627279605, test loss 1.621990574916614, train acc 0.395, test acc 0.4255
iter 273, avg loss train 1.8079312630347757, test loss 1.6100858363785873, train acc 0.445, test acc 0.427
iter 274, avg loss train 1.8074724045796144, test loss 1.6164116130018793, train acc 0.39, test acc 0.4177
iter 275, avg loss train 1.8068097669989438, test loss 1.6215545545707137, train acc 0.405, test acc 0.4183
iter 276, avg loss train 1.8064418215400693, test loss 1.66772354686912, train acc 0.455, test acc 0.4118
iter 277, avg loss train 1.8064705834113521, test loss 1.7278072686875352, train acc 0.335, test acc 0.393
